TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,F2Score
1,0,0,9,91,0.09,1.0,0.0,0,0
2,0,0,9,91,0.09,1.0,0.0,0,0
3,0,0,9,91,0.09,1.0,0.0,0,0
4,7,1,8,84,0.15,0.8888888888888888,0.07692307692307693,0.875,0.3076923076923077
5,23,4,5,68,0.28,0.5555555555555556,0.25274725274725274,0.8518518518518519,1.010989010989011
6,2,1,8,89,0.1,0.8888888888888888,0.02197802197802198,0.6666666666666666,0.08791208791208792
7,4,1,8,87,0.12,0.8888888888888888,0.04395604395604396,0.8,0.17582417582417584
8,0,0,9,91,0.09,1.0,0.0,0,0
9,7,1,8,84,0.15,0.8888888888888888,0.07692307692307693,0.875,0.3076923076923077
10,20,2,7,71,0.27,0.7777777777777778,0.21978021978021978,0.9090909090909091,0.8791208791208791
11,10,1,8,81,0.18,0.8888888888888888,0.10989010989010989,0.9090909090909091,0.43956043956043955
12,18,1,8,73,0.26,0.8888888888888888,0.1978021978021978,0.9473684210526315,0.7912087912087912
13,20,0,9,71,0.29,1.0,0.21978021978021978,1.0,0.8791208791208791
14,34,4,5,57,0.39,0.5555555555555556,0.37362637362637363,0.8947368421052632,1.4945054945054945
15,18,0,9,73,0.27,1.0,0.1978021978021978,1.0,0.7912087912087912
16,11,2,7,80,0.18,0.7777777777777778,0.12087912087912088,0.8461538461538461,0.4835164835164835
17,8,2,7,83,0.15,0.7777777777777778,0.08791208791208792,0.8,0.3516483516483517
18,5,2,7,86,0.12,0.7777777777777778,0.054945054945054944,0.7142857142857143,0.21978021978021978
19,6,1,8,85,0.14,0.8888888888888888,0.06593406593406594,0.8571428571428571,0.26373626373626374
20,11,2,7,80,0.18,0.7777777777777778,0.12087912087912088,0.8461538461538461,0.4835164835164835
21,12,1,8,79,0.2,0.8888888888888888,0.13186813186813187,0.9230769230769231,0.5274725274725275
22,4,2,7,87,0.11,0.7777777777777778,0.04395604395604396,0.6666666666666666,0.17582417582417584
23,3,0,9,88,0.12,1.0,0.03296703296703297,1.0,0.13186813186813187
24,3,0,9,88,0.12,1.0,0.03296703296703297,1.0,0.13186813186813187
25,3,0,9,88,0.12,1.0,0.03296703296703297,1.0,0.13186813186813187
26,6,1,8,85,0.14,0.8888888888888888,0.06593406593406594,0.8571428571428571,0.26373626373626374
27,10,1,8,81,0.18,0.8888888888888888,0.10989010989010989,0.9090909090909091,0.43956043956043955
28,9,1,8,82,0.17,0.8888888888888888,0.0989010989010989,0.9,0.3956043956043956
29,10,1,8,81,0.18,0.8888888888888888,0.10989010989010989,0.9090909090909091,0.43956043956043955
30,8,1,8,83,0.16,0.8888888888888888,0.08791208791208792,0.8888888888888888,0.3516483516483517
