TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,F2Score
1,0,0,89,11,0.89,1.0,0.0,0,0
2,0,0,89,11,0.89,1.0,0.0,0,0
3,0,0,89,11,0.89,1.0,0.0,0,0
4,0,1,88,11,0.88,0.9887640449438202,0.0,0.0,0
5,2,20,69,9,0.71,0.7752808988764045,0.18181818181818182,0.09090909090909091,0.7272727272727273
6,0,2,87,11,0.87,0.9775280898876404,0.0,0.0,0
7,2,9,80,9,0.82,0.898876404494382,0.18181818181818182,0.18181818181818182,0.7272727272727273
8,0,0,89,11,0.89,1.0,0.0,0,0
9,1,5,84,10,0.85,0.9438202247191011,0.09090909090909091,0.16666666666666666,0.36363636363636365
10,3,18,71,8,0.74,0.797752808988764,0.2727272727272727,0.14285714285714285,1.0909090909090908
11,4,10,79,7,0.83,0.8876404494382022,0.36363636363636365,0.2857142857142857,1.4545454545454546
12,2,24,65,9,0.67,0.7303370786516854,0.18181818181818182,0.07692307692307693,0.7272727272727273
13,2,24,65,9,0.67,0.7303370786516854,0.18181818181818182,0.07692307692307693,0.7272727272727273
14,4,36,53,7,0.57,0.5955056179775281,0.36363636363636365,0.1,1.4545454545454546
15,2,15,74,9,0.76,0.8314606741573034,0.18181818181818182,0.11764705882352941,0.7272727272727273
16,4,14,75,7,0.79,0.8426966292134831,0.36363636363636365,0.2222222222222222,1.4545454545454546
17,1,9,80,10,0.81,0.898876404494382,0.09090909090909091,0.1,0.36363636363636365
18,1,8,81,10,0.82,0.9101123595505618,0.09090909090909091,0.1111111111111111,0.36363636363636365
19,3,10,79,8,0.82,0.8876404494382022,0.2727272727272727,0.23076923076923078,1.0909090909090908
20,2,10,79,9,0.81,0.8876404494382022,0.18181818181818182,0.16666666666666666,0.7272727272727273
21,2,9,80,9,0.82,0.898876404494382,0.18181818181818182,0.18181818181818182,0.7272727272727273
22,0,5,84,11,0.84,0.9438202247191011,0.0,0.0,0
23,0,5,84,11,0.84,0.9438202247191011,0.0,0.0,0
24,0,2,87,11,0.87,0.9775280898876404,0.0,0.0,0
25,0,0,89,11,0.89,1.0,0.0,0,0
26,0,2,87,11,0.87,0.9775280898876404,0.0,0.0,0
27,2,1,88,9,0.9,0.9887640449438202,0.18181818181818182,0.6666666666666666,0.7272727272727273
28,1,4,85,10,0.86,0.9550561797752809,0.09090909090909091,0.2,0.36363636363636365
29,2,4,85,9,0.87,0.9550561797752809,0.18181818181818182,0.3333333333333333,0.7272727272727273
30,0,5,84,11,0.84,0.9438202247191011,0.0,0.0,0
31,1,3,86,10,0.87,0.9662921348314607,0.09090909090909091,0.25,0.36363636363636365
32,1,2,87,10,0.88,0.9775280898876404,0.09090909090909091,0.3333333333333333,0.36363636363636365
33,1,3,86,10,0.87,0.9662921348314607,0.09090909090909091,0.25,0.36363636363636365
34,2,5,84,9,0.86,0.9438202247191011,0.18181818181818182,0.2857142857142857,0.7272727272727273
35,1,5,84,10,0.85,0.9438202247191011,0.09090909090909091,0.16666666666666666,0.36363636363636365
36,2,4,85,9,0.87,0.9550561797752809,0.18181818181818182,0.3333333333333333,0.7272727272727273
37,2,3,86,9,0.88,0.9662921348314607,0.18181818181818182,0.4,0.7272727272727273
38,2,5,84,9,0.86,0.9438202247191011,0.18181818181818182,0.2857142857142857,0.7272727272727273
39,1,4,85,10,0.86,0.9550561797752809,0.09090909090909091,0.2,0.36363636363636365
40,2,6,83,9,0.85,0.9325842696629213,0.18181818181818182,0.25,0.7272727272727273
41,1,5,84,10,0.85,0.9438202247191011,0.09090909090909091,0.16666666666666666,0.36363636363636365
42,1,5,84,10,0.85,0.9438202247191011,0.09090909090909091,0.16666666666666666,0.36363636363636365
43,1,5,84,10,0.85,0.9438202247191011,0.09090909090909091,0.16666666666666666,0.36363636363636365
44,1,3,86,10,0.87,0.9662921348314607,0.09090909090909091,0.25,0.36363636363636365
45,1,3,86,10,0.87,0.9662921348314607,0.09090909090909091,0.25,0.36363636363636365
46,0,3,86,11,0.86,0.9662921348314607,0.0,0.0,0
47,0,2,87,11,0.87,0.9775280898876404,0.0,0.0,0
48,0,1,88,11,0.88,0.9887640449438202,0.0,0.0,0
49,0,1,88,11,0.88,0.9887640449438202,0.0,0.0,0
50,0,1,88,11,0.88,0.9887640449438202,0.0,0.0,0
51,0,1,88,11,0.88,0.9887640449438202,0.0,0.0,0
52,1,0,89,10,0.9,1.0,0.09090909090909091,1.0,0.36363636363636365
53,0,2,87,11,0.87,0.9775280898876404,0.0,0.0,0
54,0,1,88,11,0.88,0.9887640449438202,0.0,0.0,0
55,0,1,88,11,0.88,0.9887640449438202,0.0,0.0,0
56,0,0,89,11,0.89,1.0,0.0,0,0
57,0,0,89,11,0.89,1.0,0.0,0,0
58,0,1,88,11,0.88,0.9887640449438202,0.0,0.0,0
59,0,1,88,11,0.88,0.9887640449438202,0.0,0.0,0
60,0,2,87,11,0.87,0.9775280898876404,0.0,0.0,0
61,1,0,89,10,0.9,1.0,0.09090909090909091,1.0,0.36363636363636365
62,0,0,89,11,0.89,1.0,0.0,0,0
63,0,0,89,11,0.89,1.0,0.0,0,0
64,0,1,88,11,0.88,0.9887640449438202,0.0,0.0,0
