numberOfTurns,winType,player_0,player_1,unitLossTurn,unitLostPlayer,unitLostType,combinedStat,winner
150.000000,1,1241,1527,41.000000,1,1,1,1
150.000000,1,1291,1870,33.000000,1,1,1,1
150.000000,1,1184,1699,47.000000,1,1,1,1
150.000000,1,1100,1849,74.000000,1,3,3,1
150.000000,1,1067,2760,44.000000,0,1,-1,1
150.000000,1,1086,2165,32.000000,0,1,-1,1
150.000000,1,1089,2053,87.000000,1,1,1,1
150.000000,1,1068,2868,24.000000,0,1,-1,1
150.000000,1,1096,2351,92.000000,1,1,1,1
150.000000,1,1095,2123,40.000000,0,1,-1,1
150.000000,1,1106,2079,24.000000,0,1,-1,1
150.000000,1,1069,2007,40.000000,1,1,1,1
150.000000,1,1290,1967,51.000000,1,1,1,1
150.000000,1,1067,2359,40.000000,0,1,-1,1
150.000000,1,1192,1786,61.000000,1,3,3,1
150.000000,1,1095,1947,45.000000,1,3,3,1
150.000000,1,1090,1986,68.000000,1,1,1,1
150.000000,1,1068,2310,32.000000,0,1,-1,1
150.000000,1,1123,1829,62.000000,1,3,3,1
150.000000,1,1100,1819,39.000000,1,1,1,1
150.000000,1,1270,2655,36.000000,0,1,-1,1
150.000000,1,1068,2185,40.000000,0,1,-1,1
150.000000,1,1094,2117,126.000000,1,3,3,1
150.000000,1,1163,2012,39.000000,1,1,1,1
150.000000,1,1075,2740,45.000000,1,3,3,1
150.000000,1,1078,1951,120.000000,1,1,1,1
150.000000,1,1118,2108,40.000000,0,1,-1,1
150.000000,1,1078,2134,28.000000,1,1,1,1
150.000000,1,1097,2270,109.000000,1,1,1,1
150.000000,1,1092,2693,111.000000,1,1,1,1
150.000000,1,1072,2162,40.000000,0,1,-1,1
150.000000,1,1291,1992,68.000000,1,1,1,1
150.000000,1,1280,1805,40.000000,0,1,-1,1
150.000000,1,1100,2205,81.000000,1,1,1,1
150.000000,1,1068,2739,24.000000,0,1,-1,1
150.000000,1,1091,1949,63.000000,1,2,2,1
150.000000,1,1099,2214,30.000000,1,1,1,1
150.000000,1,1089,2131,128.000000,1,1,1,1
150.000000,1,1073,2739,28.000000,0,1,-1,1
150.000000,1,1068,2068,36.000000,0,1,-1,1
150.000000,1,1082,2185,109.000000,1,1,1,1
150.000000,1,1279,1839,32.000000,0,1,-1,1
150.000000,1,1068,2078,32.000000,0,1,-1,1
150.000000,1,1090,2064,54.000000,1,2,2,1
150.000000,1,1068,2255,36.000000,0,1,-1,1
150.000000,1,1068,2141,36.000000,0,1,-1,1
150.000000,1,1069,2725,32.000000,0,1,-1,1
150.000000,1,1079,2649,56.000000,0,1,-1,1
150.000000,1,1298,2081,67.000000,1,1,1,1
150.000000,1,1070,2722,56.000000,0,1,-1,1
150.000000,1,1094,2673,100.000000,1,1,1,1
150.000000,1,1119,2021,71.000000,1,3,3,1
150.000000,1,1300,1895,51.000000,1,1,1,1
150.000000,1,1296,1734,75.000000,1,2,2,1
150.000000,1,1085,2104,56.000000,1,3,3,1
150.000000,1,1085,1939,33.000000,1,1,1,1
150.000000,1,1068,2720,28.000000,0,1,-1,1
150.000000,1,1120,2661,40.000000,1,1,1,1
150.000000,1,1098,2135,52.000000,1,1,1,1
150.000000,1,1180,2013,39.000000,1,1,1,1
150.000000,1,1102,2501,55.000000,1,1,1,1
150.000000,1,1068,2301,40.000000,0,1,-1,1
150.000000,1,1159,1848,47.000000,1,1,1,1
150.000000,1,1103,1761,25.000000,1,1,1,1
150.000000,1,1064,2854,63.000000,1,3,3,1
150.000000,1,1299,1787,48.000000,1,2,2,1
150.000000,1,1088,2572,53.000000,1,1,1,1
150.000000,1,1077,2320,32.000000,1,1,1,1
150.000000,1,1132,2056,44.000000,0,1,-1,1
150.000000,1,1068,2145,40.000000,0,1,-1,1
150.000000,1,1298,1803,71.000000,1,3,3,1
150.000000,1,1189,1746,60.000000,1,1,1,1
150.000000,1,1097,1941,63.000000,1,1,1,1
150.000000,1,1137,1944,34.000000,1,1,1,1
150.000000,1,1292,2101,44.000000,1,1,1,1
150.000000,1,1298,1686,57.000000,1,2,2,1
150.000000,1,1068,2126,28.000000,0,1,-1,1
150.000000,1,1150,1741,45.000000,1,3,3,1
150.000000,1,1150,1864,55.000000,1,1,1,1
150.000000,1,1098,1837,74.000000,1,1,1,1
150.000000,1,1156,1731,39.000000,1,1,1,1
150.000000,1,1072,1943,28.000000,0,1,-1,1
150.000000,1,1143,2663,59.000000,1,1,1,1
150.000000,1,1068,2703,81.000000,1,1,1,1
150.000000,1,1068,2207,32.000000,0,1,-1,1
150.000000,1,1289,1989,41.000000,1,1,1,1
150.000000,1,1091,2027,57.000000,1,2,2,1
150.000000,1,1066,2751,34.000000,1,1,1,1
150.000000,1,1083,2650,64.000000,1,1,1,1
150.000000,1,1297,1654,68.000000,1,1,1,1
150.000000,1,1075,2165,109.000000,1,1,1,1
150.000000,1,1168,1852,48.000000,0,1,-1,1
150.000000,1,1297,1965,99.000000,1,1,1,1
150.000000,1,1067,2337,32.000000,0,1,-1,1
