numberOfTurns,winType,player_0,player_1,unitLossTurn,unitLostPlayer,unitLostType,combinedStat,winner
150.000000,1,727,1961,20.000000,1,1,1,1
150.000000,1,341,919,30.000000,1,3,3,1
150.000000,1,468,2327,50.000000,1,3,3,1
150.000000,1,428,2082,28.000000,1,1,1,1
150.000000,1,1370,1009,34.000000,1,1,1,0
150.000000,1,616,1642,41.000000,1,3,3,1
150.000000,1,693,1569,82.000000,1,2,2,1
150.000000,1,922,849,51.000000,1,1,1,0
150.000000,1,442,846,34.000000,1,1,1,1
150.000000,1,1316,751,48.000000,1,2,2,0
150.000000,1,1365,1067,51.000000,1,1,1,0
150.000000,1,376,1618,65.000000,0,1,-1,1
150.000000,1,565,1294,34.000000,1,3,3,1
150.000000,1,924,532,24.000000,1,1,1,0
135.000000,2,786,2746,56.000000,1,1,1,1
135.000000,2,2802,628,34.000000,1,1,1,0
150.000000,1,812,1279,47.000000,1,3,3,1
150.000000,1,686,1505,54.000000,1,1,1,1
150.000000,1,792,573,28.000000,1,1,1,0
150.000000,1,798,1735,29.000000,1,1,1,1
150.000000,1,252,1653,37.000000,1,1,1,1
150.000000,1,733,1290,33.000000,1,2,2,1
150.000000,1,1007,964,34.000000,1,1,1,0
150.000000,1,1306,744,40.000000,1,3,3,0
150.000000,1,816,1745,31.000000,1,2,2,1
150.000000,1,1044,539,43.000000,1,1,1,0
150.000000,1,1030,868,50.000000,1,1,1,0
150.000000,1,672,1914,34.000000,1,1,1,1
150.000000,1,1101,858,30.000000,1,1,1,0
150.000000,1,896,2043,30.000000,1,1,1,1
150.000000,1,324,2178,54.000000,0,1,-1,1
150.000000,1,487,1781,53.000000,1,2,2,1
150.000000,1,700,574,29.000000,1,1,1,0
150.000000,1,659,1980,37.000000,1,3,3,1
150.000000,1,780,1795,28.000000,1,1,1,1
150.000000,1,759,1194,30.000000,1,3,3,1
150.000000,1,609,1269,43.000000,0,1,-1,1
150.000000,1,512,1193,20.000000,1,1,1,1
150.000000,1,673,619,24.000000,1,1,1,0
150.000000,1,470,1256,90.000000,1,2,2,1
127.000000,2,494,3437,62.000000,1,1,1,1
150.000000,1,1176,1238,34.000000,1,1,1,1
150.000000,1,340,1689,36.000000,1,1,1,1
150.000000,1,593,1144,39.000000,1,3,3,1
150.000000,1,568,1088,29.000000,1,3,3,1
150.000000,1,693,519,57.000000,1,3,3,0
110.000000,2,2928,1072,45.000000,1,1,1,0
150.000000,1,898,574,35.000000,1,1,1,0
150.000000,1,552,1767,39.000000,1,1,1,1
150.000000,1,825,499,30.000000,1,2,2,0
150.000000,1,614,1160,24.000000,1,1,1,1
143.000000,2,2950,530,39.000000,1,1,1,0
150.000000,1,1131,1415,44.000000,1,1,1,1
150.000000,1,1085,684,41.000000,1,2,2,0
150.000000,1,725,1558,54.000000,1,1,1,1
150.000000,1,745,1314,31.000000,1,3,3,1
150.000000,1,1423,1374,32.000000,1,3,3,0
148.000000,2,472,3310,65.000000,1,3,3,1
150.000000,1,1120,1269,14.000000,1,1,1,1
150.000000,1,350,1958,53.000000,1,3,3,1
150.000000,1,454,987,44.000000,1,1,1,1
150.000000,1,844,956,59.000000,1,1,1,1
150.000000,1,1047,1440,31.000000,1,1,1,1
150.000000,1,770,1129,29.000000,1,1,1,1
150.000000,1,1184,672,43.000000,1,3,3,0
