numberOfTurns,winType,player_1,player_2,groupLossTurn,groupLostPlayer,groupLostUnitType,combinedStat,winner
85.000000,2,2232,1685,28.000000,1,1,1,0
86.000000,2,2552,1412,29.000000,0,1,-1,0
96.000000,2,2568,1341,12.000000,1,1,1,0
83.000000,2,2376,1731,29.000000,1,1,1,0
150.000000,1,1539,1458,31.000000,0,1,-1,0
93.000000,2,2544,1298,29.000000,0,1,-1,0
150.000000,1,972,2252,26.000000,1,3,3,1
91.000000,2,2376,1483,29.000000,1,3,3,0
77.000000,2,2388,1184,34.000000,1,3,3,0
150.000000,1,796,2273,34.000000,1,2,2,1
91.000000,2,2120,1678,28.000000,1,1,1,0
82.000000,2,3152,1298,26.000000,1,1,1,0
84.000000,2,2472,1550,25.000000,1,1,1,0
75.000000,2,2406,1064,17.000000,1,1,1,0
86.000000,2,2296,1411,27.000000,1,1,1,0
85.000000,2,2728,1571,17.000000,1,1,1,0
82.000000,2,3108,1154,42.000000,0,1,-1,0
89.000000,2,2495,1574,26.000000,0,1,-1,0
150.000000,1,962,1294,34.000000,1,3,3,1
76.000000,2,2531,1198,31.000000,1,3,3,0
94.000000,2,2432,1188,33.000000,0,1,-1,0
83.000000,2,2494,1138,27.000000,1,2,2,0
150.000000,1,542,1439,27.000000,1,1,1,1
89.000000,2,2505,1533,32.000000,0,1,-1,0
82.000000,2,2518,1520,49.000000,1,1,1,0
150.000000,1,978,1332,36.000000,0,1,-1,1
88.000000,2,2355,1425,33.000000,0,1,-1,0
86.000000,2,2596,1233,30.000000,0,1,-1,0
85.000000,2,2688,974,27.000000,0,1,-1,0
90.000000,2,2449,1334,25.000000,0,1,-1,0
150.000000,1,1664,1313,28.000000,1,1,1,0
80.000000,2,3108,1500,33.000000,1,1,1,0
95.000000,2,2532,1365,27.000000,0,1,-1,0
95.000000,2,3280,1072,25.000000,0,1,-1,0
87.000000,2,2912,1168,18.000000,1,1,1,0
77.000000,2,2413,1009,24.000000,1,1,1,0
103.000000,2,2476,1471,29.000000,0,1,-1,0
88.000000,2,2502,1357,32.000000,1,2,2,0
86.000000,2,3167,1487,25.000000,0,1,-1,0
83.000000,2,3132,960,26.000000,1,3,3,0
85.000000,2,2421,1345,29.000000,1,2,2,0
90.000000,2,2532,1682,23.000000,0,1,-1,0
85.000000,2,3274,1356,29.000000,1,1,1,0
150.000000,1,1349,1582,41.000000,0,1,-1,1
84.000000,2,3210,1072,18.000000,1,1,1,0
78.000000,2,2492,1088,28.000000,1,1,1,0
84.000000,2,3172,1336,31.000000,1,3,3,0
87.000000,2,2472,1732,39.000000,1,1,1,0
