numberOfTurns,winType,player_0,player_1,unitLossTurn,unitLostPlayer,unitLostType,combinedStat,winner
150.000000,1,1341,1990,32.000000,0,1,-1,1
150.000000,1,758,1731,32.000000,1,1,1,1
150.000000,1,1458,2246,27.000000,1,1,1,1
150.000000,1,1760,782,25.000000,1,1,1,0
150.000000,1,1500,949,25.000000,1,1,1,0
150.000000,1,1268,2658,32.000000,0,1,-1,1
150.000000,1,546,1249,30.000000,1,3,3,1
150.000000,1,331,1886,26.000000,1,1,1,1
150.000000,1,749,2015,34.000000,1,3,3,1
150.000000,1,1097,1370,30.000000,1,3,3,1
150.000000,1,252,1534,18.000000,1,1,1,1
150.000000,1,828,2460,29.000000,1,1,1,1
150.000000,1,756,1942,34.000000,1,3,3,1
150.000000,1,951,1551,53.000000,1,1,1,1
150.000000,1,1267,2547,31.000000,0,1,-1,1
150.000000,1,1212,2348,18.000000,1,1,1,1
150.000000,1,886,1975,31.000000,1,3,3,1
150.000000,1,991,2088,29.000000,1,1,1,1
150.000000,1,874,2015,29.000000,1,1,1,1
150.000000,1,1611,2039,29.000000,1,1,1,1
150.000000,1,551,1824,32.000000,0,1,-1,1
150.000000,1,662,1539,36.000000,1,1,1,1
150.000000,1,655,2210,25.000000,1,1,1,1
150.000000,1,379,2089,30.000000,1,1,1,1
150.000000,1,710,902,20.000000,1,1,1,1
150.000000,1,1581,976,28.000000,1,1,1,0
150.000000,1,1242,1955,30.000000,0,1,-1,1
150.000000,1,840,1036,27.000000,1,1,1,1
150.000000,1,642,2320,32.000000,1,1,1,1
150.000000,1,1307,372,28.000000,1,1,1,0
150.000000,1,785,2250,45.000000,0,1,-1,1
150.000000,1,1344,2445,30.000000,1,1,1,1
150.000000,1,1115,394,25.000000,1,1,1,0
150.000000,1,1156,2437,31.000000,0,1,-1,1
150.000000,1,1666,1014,28.000000,1,3,3,0
150.000000,1,1159,2441,60.000000,1,3,3,1
150.000000,1,938,1540,25.000000,1,1,1,1
150.000000,1,1433,1285,28.000000,1,1,1,0
150.000000,1,1268,2525,36.000000,0,1,-1,1
150.000000,1,1560,1896,18.000000,1,1,1,1
150.000000,1,701,2256,42.000000,1,1,1,1
150.000000,1,847,1876,29.000000,1,1,1,1
150.000000,1,1272,2473,52.000000,1,1,1,1
150.000000,1,1597,1113,54.000000,1,1,1,0
150.000000,1,574,2296,98.000000,1,1,1,1
150.000000,1,1218,823,20.000000,1,1,1,0
150.000000,1,1468,2455,34.000000,1,1,1,1
150.000000,1,689,2108,39.000000,1,1,1,1
