numberOfTurns,winType,player_1,player_2,groupLossTurn,groupLostPlayer,groupLostUnitType,combinedStat,winner
150.000000,1,1504,1634,29.000000,0,1,-1,1
150.000000,1,757,1676,31.000000,0,1,-1,1
150.000000,1,1467,1584,39.000000,0,1,-1,1
150.000000,1,1378,309,34.000000,1,1,1,0
150.000000,1,1575,1868,33.000000,1,1,1,1
150.000000,1,1880,1188,47.000000,1,1,1,0
150.000000,1,1819,1657,40.000000,0,1,-1,0
150.000000,1,1793,1170,32.000000,0,1,-1,0
150.000000,1,777,917,31.000000,1,1,1,1
150.000000,1,1606,1424,31.000000,1,1,1,0
150.000000,1,999,1576,29.000000,1,1,1,1
150.000000,1,903,1227,37.000000,0,1,-1,1
150.000000,1,1719,1727,35.000000,0,1,-1,1
150.000000,1,1352,1818,30.000000,1,1,1,1
150.000000,1,1083,293,35.000000,1,1,1,0
150.000000,1,415,955,25.000000,1,1,1,1
150.000000,1,876,1660,51.000000,1,1,1,1
150.000000,1,1828,1056,71.000000,1,1,1,0
150.000000,1,674,1469,41.000000,0,3,-3,1
150.000000,1,604,2139,49.000000,0,1,-1,1
150.000000,1,687,1975,37.000000,0,1,-1,1
150.000000,1,805,640,43.000000,1,2,2,0
150.000000,1,2073,1243,44.000000,1,1,1,0
150.000000,1,1550,1201,18.000000,0,1,-1,0
150.000000,1,892,1348,27.000000,1,1,1,1
150.000000,1,828,887,40.000000,1,3,3,1
150.000000,1,1736,1088,29.000000,0,1,-1,0
150.000000,1,620,870,25.000000,0,1,-1,1
150.000000,1,590,580,50.000000,1,1,1,0
150.000000,1,379,1202,39.000000,0,1,-1,1
150.000000,1,2154,1323,18.000000,1,1,1,0
150.000000,1,799,990,23.000000,0,1,-1,1
150.000000,1,899,1668,30.000000,1,1,1,1
150.000000,1,1469,985,59.000000,1,1,1,0
150.000000,1,1660,1787,37.000000,0,1,-1,1
150.000000,1,1674,1140,53.000000,0,1,-1,0
150.000000,1,1611,822,31.000000,0,1,-1,0
150.000000,1,1041,1954,34.000000,0,1,-1,1
150.000000,1,788,1097,31.000000,1,1,1,1
150.000000,1,1135,1462,44.000000,1,3,3,1
150.000000,1,717,630,30.000000,1,1,1,0
