numberOfTurns,winType,player_0,player_1,unitLossTurn,unitLostPlayer,unitLostType,combinedStat,winner
150.000000,1,1354,1443,39.000000,1,3,3,1
150.000000,1,1468,2278,33.000000,1,1,1,1
150.000000,1,1341,1124,22.000000,1,1,1,0
150.000000,1,781,1989,25.000000,1,1,1,1
150.000000,1,557,1544,26.000000,1,3,3,1
150.000000,1,763,2164,36.000000,0,1,-1,1
150.000000,1,577,1026,34.000000,1,1,1,1
150.000000,1,1468,2453,34.000000,1,1,1,1
150.000000,1,1320,2360,56.000000,0,1,-1,1
150.000000,1,344,2271,33.000000,0,1,-1,1
150.000000,1,1564,1921,25.000000,1,1,1,1
150.000000,1,1066,2076,34.000000,1,3,3,1
150.000000,1,584,2638,33.000000,0,1,-1,1
150.000000,1,899,1627,29.000000,1,3,3,1
150.000000,1,1647,845,45.000000,0,1,-1,0
150.000000,1,716,2087,18.000000,1,1,1,1
150.000000,1,1452,1950,33.000000,1,1,1,1
150.000000,1,1353,1985,31.000000,1,1,1,1
150.000000,1,1248,947,32.000000,1,3,3,0
150.000000,1,954,1580,29.000000,1,3,3,1
150.000000,1,412,2273,49.000000,0,1,-1,1
150.000000,1,818,1503,30.000000,1,1,1,1
150.000000,1,736,2288,31.000000,1,1,1,1
150.000000,1,1145,1775,29.000000,1,1,1,1
150.000000,1,1354,2088,32.000000,1,1,1,1
150.000000,1,1212,2473,29.000000,1,1,1,1
150.000000,1,1382,1692,37.000000,0,1,-1,1
150.000000,1,608,1916,36.000000,1,1,1,1
150.000000,1,876,2444,29.000000,0,1,-1,1
150.000000,1,962,2249,59.000000,1,1,1,1
150.000000,1,1373,1608,30.000000,1,3,3,1
150.000000,1,1177,2429,41.000000,1,2,2,1
150.000000,1,172,2230,36.000000,0,1,-1,1
150.000000,1,675,2156,34.000000,1,1,1,1
150.000000,1,1406,1600,29.000000,0,1,-1,1
150.000000,1,1148,2249,18.000000,1,1,1,1
150.000000,1,500,1764,20.000000,1,1,1,1
150.000000,1,708,2318,27.000000,1,3,3,1
150.000000,1,310,2338,33.000000,1,1,1,1
150.000000,1,696,1326,26.000000,1,1,1,1
150.000000,1,1284,2065,47.000000,1,1,1,1
150.000000,1,459,592,26.000000,1,1,1,1
150.000000,1,863,1940,18.000000,1,1,1,1
150.000000,1,1311,2348,55.000000,1,1,1,1
150.000000,1,590,2027,20.000000,1,1,1,1
150.000000,1,1341,2073,30.000000,1,3,3,1
150.000000,1,1268,2652,18.000000,1,1,1,1
150.000000,1,1584,2045,25.000000,1,1,1,1
150.000000,1,924,1552,20.000000,1,1,1,1
150.000000,1,712,2256,29.000000,0,1,-1,1
150.000000,1,1467,2013,18.000000,1,1,1,1
150.000000,1,766,2255,29.000000,1,1,1,1
150.000000,1,896,1397,30.000000,1,1,1,1
150.000000,1,750,2140,28.000000,1,3,3,1
150.000000,1,1292,1867,31.000000,1,1,1,1
150.000000,1,1158,1367,28.000000,1,2,2,1
150.000000,1,1328,2472,59.000000,0,1,-1,1
150.000000,1,1445,2113,25.000000,1,1,1,1
150.000000,1,741,2325,29.000000,0,1,-1,1
150.000000,1,1137,1229,27.000000,1,1,1,1
150.000000,1,1022,2228,30.000000,1,3,3,1
