numberOfTurns,winType,player_0,player_1,unitLossTurn,unitLostPlayer,unitLostType,combinedStat,winner
150.000000,1,1188,2452,49.000000,1,1,1,1
150.000000,1,1268,2680,32.000000,1,1,1,1
150.000000,1,1147,2648,37.000000,0,1,-1,1
150.000000,1,1072,1943,31.000000,1,2,2,1
150.000000,1,1268,2446,35.000000,0,1,-1,1
150.000000,1,1120,2539,45.000000,1,1,1,1
150.000000,1,1128,2485,44.000000,0,1,-1,1
150.000000,1,1068,2639,17.000000,1,1,1,1
150.000000,1,1268,2666,28.000000,1,1,1,1
150.000000,1,1268,2670,25.000000,0,1,-1,1
150.000000,1,1129,2643,26.000000,1,1,1,1
150.000000,1,1068,2850,25.000000,1,1,1,1
86.000000,2,2665,1480,17.000000,1,1,1,0
150.000000,1,1268,2510,27.000000,1,1,1,1
150.000000,1,1268,2637,30.000000,1,1,1,1
150.000000,1,1084,2652,26.000000,1,1,1,1
150.000000,1,1138,2668,41.000000,0,1,-1,1
150.000000,1,1112,2663,30.000000,0,1,-1,1
150.000000,1,1128,2661,30.000000,1,2,2,1
150.000000,1,1268,1974,46.000000,1,3,3,1
150.000000,1,1152,2665,25.000000,0,1,-1,1
150.000000,1,1268,2486,12.000000,1,1,1,1
150.000000,1,1268,2684,18.000000,1,3,3,1
150.000000,1,1068,2676,26.000000,0,1,-1,1
150.000000,1,1121,2671,28.000000,0,1,-1,1
150.000000,1,1304,2439,27.000000,1,3,3,1
150.000000,1,1154,2668,29.000000,1,1,1,1
150.000000,1,1160,2640,18.000000,1,1,1,1
150.000000,1,1268,2682,29.000000,0,1,-1,1
119.000000,2,2627,1182,24.000000,1,1,1,0
150.000000,1,1320,2452,17.000000,1,1,1,1
150.000000,1,1268,2641,27.000000,1,2,2,1
150.000000,1,1140,2639,17.000000,1,1,1,1
150.000000,1,1082,2667,27.000000,0,1,-1,1
150.000000,1,1104,2656,24.000000,0,1,-1,1
102.000000,2,3281,1500,26.000000,1,1,1,0
150.000000,1,1268,1986,27.000000,1,3,3,1
150.000000,1,1268,2672,28.000000,0,1,-1,1
150.000000,1,1072,2668,32.000000,1,2,2,1
150.000000,1,1136,2665,24.000000,1,1,1,1
150.000000,1,1268,2667,18.000000,1,1,1,1
150.000000,1,1088,2663,28.000000,0,1,-1,1
150.000000,1,1268,2652,23.000000,1,1,1,1
150.000000,1,1268,2652,28.000000,1,2,2,1
101.000000,2,3310,1452,25.000000,1,1,1,0
150.000000,1,1120,2640,28.000000,1,3,3,1
150.000000,1,1108,2671,46.000000,1,3,3,1
150.000000,1,1096,2672,32.000000,0,1,-1,1
150.000000,1,1152,2542,17.000000,1,1,1,1
150.000000,1,1268,2507,43.000000,0,1,-1,1
150.000000,1,1068,2566,26.000000,0,1,-1,1
150.000000,1,1096,1718,48.000000,1,1,1,1
150.000000,1,1268,2472,12.000000,1,1,1,1
150.000000,1,1136,2649,31.000000,1,1,1,1
150.000000,1,1268,2675,29.000000,0,1,-1,1
150.000000,1,1114,1834,25.000000,1,1,1,1
150.000000,1,1268,2546,27.000000,0,1,-1,1
150.000000,1,1268,2684,26.000000,0,1,-1,1
150.000000,1,1156,2628,28.000000,1,2,2,1
150.000000,1,1268,2667,31.000000,1,1,1,1
150.000000,1,1111,2561,24.000000,1,1,1,1
150.000000,1,1268,2659,18.000000,1,1,1,1
150.000000,1,1268,2655,13.000000,1,1,1,1
150.000000,1,1068,2877,42.000000,0,1,-1,1
150.000000,1,1268,2644,31.000000,0,1,-1,1
150.000000,1,1152,2654,28.000000,0,1,-1,1
150.000000,1,1268,2669,26.000000,0,1,-1,1
150.000000,1,1072,2679,27.000000,0,1,-1,1
150.000000,1,1068,1882,24.000000,1,1,1,1
150.000000,1,1090,2657,31.000000,0,1,-1,1
150.000000,1,1104,2654,28.000000,0,1,-1,1
150.000000,1,1268,2109,27.000000,1,3,3,1
150.000000,1,1068,2685,12.000000,1,1,1,1
150.000000,1,1268,2643,26.000000,1,1,1,1
150.000000,1,1268,2661,30.000000,0,1,-1,1
150.000000,1,1740,1506,26.000000,1,1,1,0
150.000000,1,1068,2704,29.000000,0,1,-1,1
150.000000,1,1268,2660,28.000000,1,1,1,1
150.000000,1,1268,2684,28.000000,1,1,1,1
150.000000,1,1474,1326,25.000000,1,3,3,0
150.000000,1,1268,2652,27.000000,1,1,1,1
150.000000,1,1068,2569,32.000000,0,1,-1,1
150.000000,1,1268,2642,24.000000,1,1,1,1
150.000000,1,1068,1567,25.000000,1,1,1,1
150.000000,1,1153,2669,29.000000,1,1,1,1
150.000000,1,1103,2487,24.000000,0,1,-1,1
150.000000,1,1088,2551,42.000000,0,1,-1,1
150.000000,1,1144,2668,28.000000,1,1,1,1
138.000000,2,3280,1637,26.000000,1,3,3,0
150.000000,1,1104,2659,30.000000,0,1,-1,1
150.000000,1,1072,2650,28.000000,1,2,2,1
150.000000,1,1268,2488,30.000000,1,2,2,1
150.000000,1,1268,2408,29.000000,1,2,2,1
150.000000,1,1104,2671,31.000000,0,1,-1,1
150.000000,1,1268,2665,36.000000,0,1,-1,1
150.000000,1,1268,2653,41.000000,1,3,3,1
150.000000,1,1152,2664,47.000000,0,1,-1,1
150.000000,1,1268,2668,29.000000,1,2,2,1
150.000000,1,1080,2668,29.000000,0,1,-1,1
150.000000,1,1120,2660,30.000000,0,1,-1,1
150.000000,1,1112,2639,18.000000,1,1,1,1
150.000000,1,1136,2491,44.000000,0,1,-1,1
150.000000,1,1213,2435,25.000000,1,1,1,1
150.000000,1,1268,2660,12.000000,1,1,1,1
150.000000,1,1068,2704,30.000000,1,3,3,1
141.000000,2,3490,1424,27.000000,1,3,3,0
150.000000,1,1268,2656,28.000000,1,2,2,1
150.000000,1,1268,2563,37.000000,0,1,-1,1
150.000000,1,1156,2674,25.000000,0,1,-1,1
150.000000,1,1124,2651,19.000000,1,1,1,1
150.000000,1,1268,2660,28.000000,0,1,-1,1
150.000000,1,1148,2676,25.000000,0,1,-1,1
150.000000,1,1112,2660,27.000000,0,1,-1,1
150.000000,1,1144,2477,30.000000,0,1,-1,1
150.000000,1,1403,1637,43.000000,1,1,1,1
150.000000,1,1136,2660,25.000000,0,1,-1,1
150.000000,1,1136,2534,28.000000,0,1,-1,1
150.000000,1,1381,1641,27.000000,1,3,3,1
150.000000,1,1120,2666,12.000000,1,1,1,1
150.000000,1,1156,2662,32.000000,0,1,-1,1
150.000000,1,1152,2676,26.000000,0,1,-1,1
150.000000,1,1160,2559,32.000000,1,1,1,1
150.000000,1,1268,2649,31.000000,1,3,3,1
150.000000,1,1268,2466,41.000000,1,2,2,1
150.000000,1,1156,2667,26.000000,1,1,1,1
150.000000,1,1268,2492,17.000000,1,1,1,1
124.000000,2,3364,1431,24.000000,1,1,1,0
150.000000,1,1120,2651,26.000000,0,1,-1,1
150.000000,1,1268,2655,28.000000,0,1,-1,1
150.000000,1,1152,2676,25.000000,0,1,-1,1
150.000000,1,1268,2668,27.000000,0,1,-1,1
150.000000,1,1268,2618,26.000000,1,1,1,1
150.000000,1,1096,2537,28.000000,0,1,-1,1
150.000000,1,1268,2649,42.000000,1,2,2,1
150.000000,1,1072,2668,12.000000,1,1,1,1
150.000000,1,1113,2682,12.000000,1,1,1,1
150.000000,1,1268,2676,26.000000,1,3,3,1
150.000000,1,1162,2660,14.000000,1,1,1,1
150.000000,1,1752,1272,16.000000,1,1,1,0
150.000000,1,1324,1641,49.000000,1,2,2,1
150.000000,1,1172,2456,17.000000,1,1,1,1
150.000000,1,1468,2454,27.000000,1,1,1,1
150.000000,1,1156,2667,12.000000,1,1,1,1
150.000000,1,1268,2644,30.000000,0,1,-1,1
150.000000,1,1068,2707,12.000000,1,1,1,1
150.000000,1,1068,2741,31.000000,0,1,-1,1
150.000000,1,1068,2683,27.000000,1,1,1,1
150.000000,1,1160,2451,33.000000,1,3,3,1
150.000000,1,1119,2649,30.000000,1,3,3,1
150.000000,1,1140,2647,22.000000,1,1,1,1
150.000000,1,1268,2555,13.000000,1,1,1,1
150.000000,1,1268,2658,29.000000,0,1,-1,1
150.000000,1,1268,2528,27.000000,1,1,1,1
150.000000,1,1128,2676,24.000000,0,1,-1,1
150.000000,1,1068,2692,31.000000,0,1,-1,1
150.000000,1,1542,1486,25.000000,1,3,3,0
150.000000,1,1152,2655,32.000000,1,2,2,1
150.000000,1,1144,2548,26.000000,0,1,-1,1
150.000000,1,1120,2660,24.000000,1,1,1,1
150.000000,1,1160,2649,26.000000,1,1,1,1
104.000000,2,3297,1520,58.000000,1,3,3,0
150.000000,1,1068,2713,29.000000,0,1,-1,1
150.000000,1,1268,2680,31.000000,0,1,-1,1
150.000000,1,1080,2512,12.000000,1,1,1,1
150.000000,1,1068,2670,17.000000,1,1,1,1
150.000000,1,1268,2667,26.000000,0,1,-1,1
150.000000,1,1068,2532,30.000000,0,1,-1,1
150.000000,1,1072,2675,27.000000,0,1,-1,1
123.000000,2,3232,1467,28.000000,1,1,1,0
150.000000,1,1132,2452,26.000000,1,1,1,1
150.000000,1,1108,2648,26.000000,0,1,-1,1
150.000000,1,1112,2684,29.000000,1,2,2,1
150.000000,1,1158,2687,28.000000,0,1,-1,1
150.000000,1,1108,2648,35.000000,0,1,-1,1
150.000000,1,1101,2663,29.000000,0,1,-1,1
150.000000,1,1072,2655,29.000000,0,1,-1,1
150.000000,1,1068,2578,28.000000,1,1,1,1
150.000000,1,1268,2636,28.000000,1,1,1,1
150.000000,1,1126,2645,26.000000,1,3,3,1
150.000000,1,1068,2662,27.000000,0,1,-1,1
106.000000,2,3376,1240,17.000000,1,1,1,0
150.000000,1,1268,2656,28.000000,0,1,-1,1
150.000000,1,1268,2105,47.000000,1,1,1,1
150.000000,1,1147,2645,28.000000,1,1,1,1
150.000000,1,1160,2656,28.000000,1,3,3,1
150.000000,1,1152,2661,25.000000,1,3,3,1
150.000000,1,1268,2658,24.000000,1,1,1,1
150.000000,1,1144,2668,35.000000,0,1,-1,1
150.000000,1,1068,2701,50.000000,0,1,-1,1
150.000000,1,1136,2660,38.000000,1,3,3,1
136.000000,2,3354,1436,28.000000,1,1,1,0
150.000000,1,1144,2669,27.000000,1,3,3,1
88.000000,2,2859,1447,31.000000,1,3,3,0
150.000000,1,1068,2728,26.000000,0,1,-1,1
150.000000,1,1140,2638,29.000000,1,1,1,1
150.000000,1,1268,2110,27.000000,1,1,1,1
150.000000,1,1119,2667,27.000000,0,1,-1,1
150.000000,1,1140,2490,40.000000,0,1,-1,1
150.000000,1,1108,2666,25.000000,1,1,1,1
150.000000,1,1080,2668,31.000000,1,3,3,1
150.000000,1,1324,1540,29.000000,1,2,2,1
150.000000,1,1268,2666,25.000000,0,1,-1,1
150.000000,1,1068,2544,32.000000,0,1,-1,1
150.000000,1,1108,2655,28.000000,1,3,3,1
150.000000,1,1068,2882,25.000000,0,1,-1,1
150.000000,1,1169,1468,29.000000,1,2,2,1
150.000000,1,1268,1849,18.000000,1,1,1,1
150.000000,1,1328,2444,17.000000,1,1,1,1
150.000000,1,1165,2666,41.000000,0,1,-1,1
150.000000,1,1152,1838,29.000000,1,3,3,1
150.000000,1,1136,2661,27.000000,0,1,-1,1
150.000000,1,1268,2518,14.000000,1,1,1,1
150.000000,1,1072,2488,27.000000,1,1,1,1
150.000000,1,1268,2485,30.000000,0,1,-1,1
150.000000,1,1120,2662,18.000000,1,1,1,1
150.000000,1,1082,2668,67.000000,0,1,-1,1
150.000000,1,1104,2648,26.000000,0,1,-1,1
150.000000,1,1133,2667,29.000000,1,3,3,1
150.000000,1,1068,2853,27.000000,1,1,1,1
150.000000,1,1068,2877,29.000000,0,1,-1,1
150.000000,1,1204,2448,29.000000,1,1,1,1
150.000000,1,1277,1665,24.000000,1,1,1,1
150.000000,1,1268,2678,26.000000,0,1,-1,1
150.000000,1,1104,2678,29.000000,0,1,-1,1
150.000000,1,1068,2576,12.000000,1,1,1,1
150.000000,1,1096,2541,27.000000,1,1,1,1
150.000000,1,1068,2707,27.000000,0,1,-1,1
150.000000,1,1092,2668,17.000000,1,1,1,1
150.000000,1,1268,2520,39.000000,1,1,1,1
150.000000,1,1268,2654,27.000000,1,1,1,1
150.000000,1,1068,2676,27.000000,0,1,-1,1
150.000000,1,1268,2639,25.000000,0,1,-1,1
150.000000,1,1268,2671,31.000000,0,1,-1,1
98.000000,2,3294,1524,55.000000,1,1,1,0
150.000000,1,1072,2676,29.000000,0,1,-1,1
150.000000,1,1088,2658,29.000000,0,1,-1,1
150.000000,1,1112,2668,28.000000,0,1,-1,1
150.000000,1,1268,2656,27.000000,1,2,2,1
150.000000,1,1156,2664,12.000000,1,1,1,1
150.000000,1,1136,2666,27.000000,1,3,3,1
150.000000,1,1268,2641,13.000000,1,1,1,1
150.000000,1,1272,2433,25.000000,1,1,1,1
150.000000,1,1144,2678,29.000000,0,1,-1,1
150.000000,1,1140,2647,28.000000,1,1,1,1
150.000000,1,1080,2466,29.000000,0,1,-1,1
150.000000,1,1268,2660,26.000000,0,1,-1,1
150.000000,1,1268,2673,28.000000,0,1,-1,1
150.000000,1,1719,1454,26.000000,1,1,1,0
150.000000,1,1268,2666,26.000000,1,1,1,1
150.000000,1,1268,1678,12.000000,1,1,1,1
150.000000,1,1268,2654,36.000000,0,1,-1,1
