TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,FScore
1,0,0,43,57,0.43,1,0,0,0
2,0,0,43,57,0.43,1,0,0,0
3,0,0,43,57,0.43,1,0,0,0
4,10,10,33,47,0.43,0.76744186,0.175438596,0.5,0.701754386
5,18,16,27,39,0.45,0.627906977,0.315789474,0.529411765,1.263157895
6,36,21,22,21,0.58,0.511627907,0.631578947,0.631578947,2.526315789
7,37,24,19,20,0.56,0.441860465,0.649122807,0.606557377,2.596491228
8,33,22,21,24,0.54,0.488372093,0.578947368,0.6,2.315789474
9,29,22,21,28,0.5,0.488372093,0.50877193,0.568627451,2.035087719
10,29,20,23,28,0.52,0.534883721,0.50877193,0.591836735,2.035087719
11,23,20,23,34,0.46,0.534883721,0.403508772,0.534883721,1.614035088
12,23,16,27,34,0.5,0.627906977,0.403508772,0.58974359,1.614035088
13,24,20,23,33,0.47,0.534883721,0.421052632,0.545454545,1.684210526
14,27,17,26,30,0.53,0.604651163,0.473684211,0.613636364,1.894736842
15,25,17,26,32,0.51,0.604651163,0.438596491,0.595238095,1.754385965
16,30,19,24,27,0.54,0.558139535,0.526315789,0.612244898,2.105263158
17,33,20,23,24,0.56,0.534883721,0.578947368,0.622641509,2.315789474
18,33,18,25,24,0.58,0.581395349,0.578947368,0.647058824,2.315789474
19,31,18,25,26,0.56,0.581395349,0.543859649,0.632653061,2.175438596
20,33,21,22,24,0.55,0.511627907,0.578947368,0.611111111,2.315789474
21,24,26,17,33,0.41,0.395348837,0.421052632,0.48,1.684210526
22,32,23,20,25,0.52,0.465116279,0.561403509,0.581818182,2.245614035
23,29,27,16,28,0.45,0.372093023,0.50877193,0.517857143,2.035087719
24,31,21,22,26,0.53,0.511627907,0.543859649,0.596153846,2.175438596
25,23,23,20,34,0.43,0.465116279,0.403508772,0.5,1.614035088
26,32,23,20,25,0.52,0.465116279,0.561403509,0.581818182,2.245614035
27,27,22,21,30,0.48,0.488372093,0.473684211,0.551020408,1.894736842
28,26,24,19,31,0.45,0.441860465,0.456140351,0.52,1.824561404
29,28,25,18,29,0.46,0.418604651,0.49122807,0.528301887,1.964912281
30,29,23,20,28,0.49,0.465116279,0.50877193,0.557692308,2.035087719
31,37,27,16,20,0.53,0.372093023,0.649122807,0.578125,2.596491228
32,35,23,20,22,0.55,0.465116279,0.614035088,0.603448276,2.456140351
33,31,23,20,26,0.51,0.465116279,0.543859649,0.574074074,2.175438596
34,37,23,20,20,0.57,0.465116279,0.649122807,0.616666667,2.596491228
35,35,21,22,22,0.57,0.511627907,0.614035088,0.625,2.456140351
36,36,19,24,21,0.6,0.558139535,0.631578947,0.654545455,2.526315789
37,40,23,20,17,0.6,0.465116279,0.701754386,0.634920635,2.807017544
38,37,21,22,20,0.59,0.511627907,0.649122807,0.637931034,2.596491228
39,38,24,19,19,0.57,0.441860465,0.666666667,0.612903226,2.666666667
