TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,FScore
1,0,0,105,95,0.525,1,0,0,0
2,0,0,105,95,0.525,1,0,0,0
3,0,0,105,95,0.525,1,0,0,0
4,32,6,99,63,0.655,0.942857143,0.336842105,0.842105263,1.347368421
5,57,30,75,38,0.66,0.714285714,0.6,0.655172414,2.4
6,84,18,87,11,0.855,0.828571429,0.884210526,0.823529412,3.536842105
7,85,25,80,10,0.825,0.761904762,0.894736842,0.772727273,3.578947368
8,84,16,89,11,0.865,0.847619048,0.884210526,0.84,3.536842105
9,82,19,86,13,0.84,0.819047619,0.863157895,0.811881188,3.452631579
10,72,31,74,23,0.73,0.704761905,0.757894737,0.699029126,3.031578947
11,74,20,85,21,0.795,0.80952381,0.778947368,0.787234043,3.115789474
12,70,37,68,25,0.69,0.647619048,0.736842105,0.654205607,2.947368421
13,70,35,70,25,0.7,0.666666667,0.736842105,0.666666667,2.947368421
14,53,45,60,42,0.565,0.571428571,0.557894737,0.540816327,2.231578947
15,69,28,77,26,0.73,0.733333333,0.726315789,0.711340206,2.905263158
16,76,26,79,19,0.775,0.752380952,0.8,0.745098039,3.2
17,75,23,82,20,0.785,0.780952381,0.789473684,0.765306122,3.157894737
18,82,21,84,13,0.83,0.8,0.863157895,0.796116505,3.452631579
19,82,24,81,13,0.815,0.771428571,0.863157895,0.773584906,3.452631579
20,79,24,81,16,0.8,0.771428571,0.831578947,0.766990291,3.326315789
21,82,23,82,13,0.82,0.780952381,0.863157895,0.780952381,3.452631579
22,81,20,85,14,0.83,0.80952381,0.852631579,0.801980198,3.410526316
23,84,20,85,11,0.845,0.80952381,0.884210526,0.807692308,3.536842105
24,84,18,87,11,0.855,0.828571429,0.884210526,0.823529412,3.536842105
25,83,16,89,12,0.86,0.847619048,0.873684211,0.838383838,3.494736842
26,79,18,87,16,0.83,0.828571429,0.831578947,0.81443299,3.326315789
27,82,17,88,13,0.85,0.838095238,0.863157895,0.828282828,3.452631579
28,81,20,85,14,0.83,0.80952381,0.852631579,0.801980198,3.410526316
29,81,19,86,14,0.835,0.819047619,0.852631579,0.81,3.410526316
30,83,20,85,12,0.84,0.80952381,0.873684211,0.805825243,3.494736842
31,82,16,89,13,0.855,0.847619048,0.863157895,0.836734694,3.452631579
