TurnNumber,TruePositive,FalsePositive,TrueNegative,Falsenegative,Accuracy,Specificity,Sensitivity
1,0,0,23,177,0.115,1,0
2,0,0,23,177,0.115,1,0
3,0,0,23,177,0.115,1,0
4,65,8,15,112,0.4,0.652173913,0.367231638
5,113,14,9,64,0.61,0.391304348,0.638418079
6,177,23,0,0,0.885,0,1
7,174,22,1,3,0.875,0.043478261,0.983050847
8,177,23,0,0,0.885,0,1
9,170,20,3,7,0.865,0.130434783,0.960451977
10,147,18,5,30,0.76,0.217391304,0.830508475
11,151,16,7,26,0.79,0.304347826,0.853107345
12,139,20,3,38,0.71,0.130434783,0.785310734
13,140,15,8,37,0.74,0.347826087,0.790960452
14,111,14,9,66,0.6,0.391304348,0.627118644
15,150,20,3,27,0.765,0.130434783,0.847457627
16,152,19,4,25,0.78,0.173913043,0.858757062
17,158,21,2,19,0.8,0.086956522,0.892655367
18,168,20,3,9,0.855,0.130434783,0.949152542
19,163,20,3,14,0.83,0.130434783,0.920903955
20,162,20,3,15,0.825,0.130434783,0.915254237
21,165,21,2,12,0.835,0.086956522,0.93220339
22,170,22,1,7,0.855,0.043478261,0.960451977
23,171,22,1,6,0.86,0.043478261,0.966101695
24,174,23,0,3,0.87,0,0.983050847
25,174,23,0,3,0.87,0,0.983050847
26,171,23,0,6,0.855,0,0.966101695
27,171,23,0,6,0.855,0,0.966101695
28,173,23,0,4,0.865,0,0.97740113
29,171,21,2,6,0.865,0.086956522,0.966101695
30,175,21,2,2,0.885,0.086956522,0.988700565
31,171,19,4,6,0.875,0.173913043,0.966101695
32,171,19,4,6,0.875,0.173913043,0.966101695
33,170,21,2,7,0.86,0.086956522,0.960451977
34,169,20,3,8,0.86,0.130434783,0.95480226
35,166,20,3,11,0.845,0.130434783,0.937853107
36,172,20,3,5,0.875,0.130434783,0.971751412
37,168,21,2,9,0.85,0.086956522,0.949152542
38,171,22,1,6,0.86,0.043478261,0.966101695
39,170,21,2,7,0.86,0.086956522,0.960451977
40,168,21,2,9,0.85,0.086956522,0.949152542
41,170,21,2,7,0.86,0.086956522,0.960451977
42,171,23,0,6,0.855,0,0.966101695
43,173,23,0,4,0.865,0,0.97740113
44,173,23,0,4,0.865,0,0.97740113
45,170,23,0,7,0.85,0,0.960451977
46,171,22,1,6,0.86,0.043478261,0.966101695
47,170,22,1,7,0.855,0.043478261,0.960451977
48,172,22,1,5,0.865,0.043478261,0.971751412
49,171,22,1,6,0.86,0.043478261,0.966101695
50,169,23,0,8,0.845,0,0.95480226
51,171,23,0,6,0.855,0,0.966101695
52,170,22,1,7,0.855,0.043478261,0.960451977
53,170,22,1,7,0.855,0.043478261,0.960451977
54,172,22,1,5,0.865,0.043478261,0.971751412
55,170,22,1,7,0.855,0.043478261,0.960451977
56,174,22,1,3,0.875,0.043478261,0.983050847
57,170,22,1,7,0.855,0.043478261,0.960451977
58,172,22,1,5,0.865,0.043478261,0.971751412
59,173,21,2,4,0.875,0.086956522,0.97740113
60,170,22,1,7,0.855,0.043478261,0.960451977
61,166,19,4,11,0.85,0.173913043,0.937853107
62,164,20,3,13,0.835,0.130434783,0.926553672
63,166,20,3,11,0.845,0.130434783,0.937853107
64,170,20,3,7,0.865,0.130434783,0.960451977
65,171,20,3,6,0.87,0.130434783,0.966101695
66,168,22,1,9,0.845,0.043478261,0.949152542
67,166,22,1,11,0.835,0.043478261,0.937853107
68,166,23,0,11,0.83,0,0.937853107
69,166,23,0,11,0.83,0,0.937853107
70,168,23,0,9,0.84,0,0.949152542
71,168,22,1,9,0.845,0.043478261,0.949152542
72,165,22,1,11,0.834170854,0.043478261,0.9375
73,164,22,1,11,0.833333333,0.043478261,0.937142857
74,157,22,1,14,0.81443299,0.043478261,0.918128655
75,156,22,1,13,0.817708333,0.043478261,0.923076923
76,159,20,3,4,0.870967742,0.130434783,0.975460123
77,148,20,3,6,0.853107345,0.130434783,0.961038961
78,146,18,5,3,0.877906977,0.217391304,0.979865772
79,136,17,6,6,0.860606061,0.260869565,0.957746479
80,134,18,5,5,0.858024691,0.217391304,0.964028777
81,128,13,10,7,0.873417722,0.434782609,0.948148148
82,120,12,11,8,0.867549669,0.47826087,0.9375
83,116,11,12,5,0.888888889,0.52173913,0.958677686
84,112,11,12,6,0.879432624,0.52173913,0.949152542
85,100,12,11,5,0.8671875,0.47826087,0.952380952
86,88,15,8,6,0.820512821,0.347826087,0.936170213
87,76,15,8,5,0.807692308,0.347826087,0.938271605
88,61,14,9,3,0.804597701,0.391304348,0.953125
89,54,14,9,1,0.807692308,0.391304348,0.981818182
90,47,14,9,1,0.788732394,0.391304348,0.979166667
91,32,11,12,4,0.745762712,0.52173913,0.888888889
92,25,12,11,2,0.72,0.47826087,0.925925926
93,22,11,12,2,0.723404255,0.52173913,0.916666667
94,17,9,14,1,0.756097561,0.608695652,0.944444444
95,14,11,12,1,0.684210526,0.52173913,0.933333333
96,14,11,12,0,0.702702703,0.52173913,1
97,13,10,13,0,0.722222222,0.565217391,1
98,9,9,14,0,0.71875,0.608695652,1
99,7,9,14,0,0.7,0.608695652,1
100,6,7,16,0,0.75862069,0.695652174,1
101,3,10,13,0,0.615384615,0.565217391,1
102,3,10,13,0,0.615384615,0.565217391,1
103,2,10,13,0,0.6,0.565217391,1
104,1,10,13,0,0.583333333,0.565217391,1
105,0,11,12,0,0.52173913,0.52173913,1
106,0,9,14,0,0.608695652,0.608695652,1
107,0,9,14,0,0.608695652,0.608695652,1
108,0,8,15,0,0.652173913,0.652173913,1
109,0,9,14,0,0.608695652,0.608695652,1
110,0,12,11,0,0.47826087,0.47826087,1
111,0,9,14,0,0.608695652,0.608695652,1
112,0,10,13,0,0.565217391,0.565217391,1
113,0,10,13,0,0.565217391,0.565217391,1
114,0,10,13,0,0.565217391,0.565217391,1
115,0,10,13,0,0.565217391,0.565217391,1
116,0,3,20,0,0.869565217,0.869565217,1
117,0,3,20,0,0.869565217,0.869565217,1
118,0,2,21,0,0.913043478,0.913043478,1
119,0,3,20,0,0.869565217,0.869565217,1
120,0,3,20,0,0.869565217,0.869565217,1
121,0,2,21,0,0.913043478,0.913043478,1
122,0,2,21,0,0.913043478,0.913043478,1
123,0,3,20,0,0.869565217,0.869565217,1
