TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,F2Score
1,0,0,90,10,0.9,1.0,0.0,0,0
2,0,0,90,10,0.9,1.0,0.0,0,0
3,0,0,90,10,0.9,1.0,0.0,0,0
4,4,28,62,6,0.66,0.6888888888888889,0.4,0.125,1.6
5,6,61,29,4,0.35,0.32222222222222224,0.6,0.08955223880597014,2.4
6,10,89,1,0,0.11,0.011111111111111112,1.0,0.10101010101010101,4.0
7,10,88,2,0,0.12,0.022222222222222223,1.0,0.10204081632653061,4.0
8,10,90,0,0,0.1,0.0,1.0,0.1,4.0
9,9,85,5,1,0.14,0.05555555555555555,0.9,0.09574468085106383,3.6
10,7,71,19,3,0.26,0.2111111111111111,0.7,0.08974358974358974,2.8
11,7,78,12,3,0.19,0.13333333333333333,0.7,0.08235294117647059,2.8
12,4,75,15,6,0.19,0.16666666666666666,0.4,0.05063291139240506,1.6
13,7,69,21,3,0.28,0.23333333333333334,0.7,0.09210526315789473,2.8
14,6,52,38,4,0.44,0.4222222222222222,0.6,0.10344827586206896,2.4
15,6,73,17,4,0.23,0.18888888888888888,0.6,0.0759493670886076,2.4
16,8,73,17,2,0.25,0.18888888888888888,0.8,0.09876543209876543,3.2
17,9,80,10,1,0.19,0.1111111111111111,0.9,0.10112359550561797,3.6
18,9,79,11,1,0.2,0.12222222222222222,0.9,0.10227272727272728,3.6
19,9,79,11,1,0.2,0.12222222222222222,0.9,0.10227272727272728,3.6
20,9,82,8,1,0.17,0.08888888888888889,0.9,0.0989010989010989,3.6
21,10,80,10,0,0.2,0.1111111111111111,1.0,0.1111111111111111,4.0
22,10,85,5,0,0.15,0.05555555555555555,1.0,0.10526315789473684,4.0
23,10,85,5,0,0.15,0.05555555555555555,1.0,0.10526315789473684,4.0
24,9,87,3,1,0.12,0.03333333333333333,0.9,0.09375,3.6
25,10,90,0,0,0.1,0.0,1.0,0.1,4.0
26,10,87,3,0,0.13,0.03333333333333333,1.0,0.10309278350515463,4.0
27,9,84,6,1,0.15,0.06666666666666667,0.9,0.0967741935483871,3.6
28,9,84,6,1,0.15,0.06666666666666667,0.9,0.0967741935483871,3.6
29,10,85,5,0,0.15,0.05555555555555555,1.0,0.10526315789473684,4.0
30,9,84,6,1,0.15,0.06666666666666667,0.9,0.0967741935483871,3.6
31,10,83,7,0,0.17,0.07777777777777778,1.0,0.10752688172043011,4.0
32,10,82,8,0,0.18,0.08888888888888889,1.0,0.10869565217391304,4.0
33,9,84,6,1,0.15,0.06666666666666667,0.9,0.0967741935483871,3.6
34,9,86,4,1,0.13,0.044444444444444446,0.9,0.09473684210526316,3.6
35,10,87,3,0,0.13,0.03333333333333333,1.0,0.10309278350515463,4.0
36,10,83,7,0,0.17,0.07777777777777778,1.0,0.10752688172043011,4.0
37,10,83,7,0,0.17,0.07777777777777778,1.0,0.10752688172043011,4.0
38,10,85,5,0,0.15,0.05555555555555555,1.0,0.10526315789473684,4.0
39,10,82,8,0,0.18,0.08888888888888889,1.0,0.10869565217391304,4.0
40,9,84,6,1,0.15,0.06666666666666667,0.9,0.0967741935483871,3.6
41,8,88,2,2,0.1,0.022222222222222223,0.8,0.08333333333333333,3.2
42,10,86,4,0,0.14,0.044444444444444446,1.0,0.10416666666666667,4.0
43,9,87,3,1,0.12,0.03333333333333333,0.9,0.09375,3.6
44,9,86,4,1,0.13,0.044444444444444446,0.9,0.09473684210526316,3.6
45,9,87,3,1,0.12,0.03333333333333333,0.9,0.09375,3.6
46,9,86,4,1,0.13,0.044444444444444446,0.9,0.09473684210526316,3.6
47,9,87,3,1,0.12,0.03333333333333333,0.9,0.09375,3.6
48,9,86,4,1,0.13,0.044444444444444446,0.9,0.09473684210526316,3.6
49,9,84,6,1,0.15,0.06666666666666667,0.9,0.0967741935483871,3.6
50,9,85,5,1,0.14,0.05555555555555555,0.9,0.09574468085106383,3.6
51,10,86,4,0,0.14,0.044444444444444446,1.0,0.10416666666666667,4.0
52,10,86,4,0,0.14,0.044444444444444446,1.0,0.10416666666666667,4.0
53,10,85,5,0,0.15,0.05555555555555555,1.0,0.10526315789473684,4.0
54,10,85,5,0,0.15,0.05555555555555555,1.0,0.10526315789473684,4.0
55,10,84,6,0,0.16,0.06666666666666667,1.0,0.10638297872340426,4.0
56,10,84,6,0,0.16,0.06666666666666667,1.0,0.10638297872340426,4.0
57,9,82,8,1,0.17,0.08888888888888889,0.9,0.0989010989010989,3.6
58,10,82,8,0,0.18,0.08888888888888889,1.0,0.10869565217391304,4.0
59,10,82,8,0,0.18,0.08888888888888889,1.0,0.10869565217391304,4.0
60,10,82,8,0,0.18,0.08888888888888889,1.0,0.10869565217391304,4.0
61,10,83,7,0,0.17,0.07777777777777778,1.0,0.10752688172043011,4.0
62,10,83,7,0,0.17,0.07777777777777778,1.0,0.10752688172043011,4.0
63,10,85,5,0,0.15,0.05555555555555555,1.0,0.10526315789473684,4.0
64,10,85,5,0,0.15,0.05555555555555555,1.0,0.10526315789473684,4.0
65,10,85,5,0,0.15,0.05555555555555555,1.0,0.10526315789473684,4.0
66,10,85,5,0,0.15,0.05555555555555555,1.0,0.10526315789473684,4.0
67,10,85,5,0,0.15,0.05555555555555555,1.0,0.10526315789473684,4.0
68,10,85,5,0,0.15,0.05555555555555555,1.0,0.10526315789473684,4.0
69,10,85,5,0,0.15,0.05555555555555555,1.0,0.10526315789473684,4.0
70,10,86,4,0,0.14,0.044444444444444446,1.0,0.10416666666666667,4.0
71,10,83,7,0,0.17,0.07777777777777778,1.0,0.10752688172043011,4.0
72,10,83,7,0,0.17,0.07777777777777778,1.0,0.10752688172043011,4.0
73,10,83,7,0,0.17,0.07777777777777778,1.0,0.10752688172043011,4.0
74,10,83,7,0,0.17,0.07777777777777778,1.0,0.10752688172043011,4.0
75,10,83,7,0,0.17,0.07777777777777778,1.0,0.10752688172043011,4.0
76,10,79,11,0,0.21,0.12222222222222222,1.0,0.11235955056179775,4.0
77,10,82,8,0,0.18,0.08888888888888889,1.0,0.10869565217391304,4.0
78,10,82,8,0,0.18,0.08888888888888889,1.0,0.10869565217391304,4.0
79,10,82,8,0,0.18,0.08888888888888889,1.0,0.10869565217391304,4.0
80,10,81,9,0,0.19,0.1,1.0,0.10989010989010989,4.0
81,10,63,27,0,0.37,0.3,1.0,0.136986301369863,4.0
82,10,68,22,0,0.32,0.24444444444444444,1.0,0.1282051282051282,4.0
83,10,67,23,0,0.33,0.25555555555555554,1.0,0.12987012987012986,4.0
84,10,70,20,0,0.3,0.2222222222222222,1.0,0.125,4.0
85,10,68,22,0,0.32,0.24444444444444444,1.0,0.1282051282051282,4.0
86,10,69,21,0,0.31,0.23333333333333334,1.0,0.12658227848101267,4.0
87,10,66,24,0,0.34,0.26666666666666666,1.0,0.13157894736842105,4.0
88,9,64,26,0,0.35353535353535354,0.28888888888888886,1.0,0.1232876712328767,4.0
89,9,63,27,0,0.36363636363636365,0.3,1.0,0.125,4.0
90,8,65,25,1,0.3333333333333333,0.2777777777777778,0.8888888888888888,0.1095890410958904,3.5555555555555554
91,9,46,44,0,0.5353535353535354,0.4888888888888889,1.0,0.16363636363636364,4.0
92,9,43,47,0,0.5656565656565656,0.5222222222222223,1.0,0.17307692307692307,4.0
93,9,43,47,0,0.5656565656565656,0.5222222222222223,1.0,0.17307692307692307,4.0
94,9,42,48,0,0.5757575757575758,0.5333333333333333,1.0,0.17647058823529413,4.0
95,9,38,52,0,0.6161616161616161,0.5777777777777777,1.0,0.19148936170212766,4.0
96,9,49,41,0,0.5050505050505051,0.45555555555555555,1.0,0.15517241379310345,4.0
97,9,47,43,0,0.5252525252525253,0.4777777777777778,1.0,0.16071428571428573,4.0
