TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,FScore
1,0,0,101,99,0.505,1,0,0,0
2,0,0,101,99,0.505,1,0,0,0
3,0,0,101,99,0.505,1,0,0,0
4,28,12,89,71,0.585,0.881188119,0.282828283,0.7,1.131313131
5,52,36,65,47,0.585,0.643564356,0.525252525,0.590909091,2.101010101
6,76,26,75,23,0.755,0.742574257,0.767676768,0.745098039,3.070707071
7,76,33,68,23,0.72,0.673267327,0.767676768,0.697247706,3.070707071
8,75,25,76,24,0.755,0.752475248,0.757575758,0.75,3.03030303
9,73,34,67,26,0.7,0.663366337,0.737373737,0.682242991,2.949494949
10,72,41,60,27,0.66,0.594059406,0.727272727,0.637168142,2.909090909
11,69,32,69,30,0.69,0.683168317,0.696969697,0.683168317,2.787878788
12,69,42,59,30,0.64,0.584158416,0.696969697,0.621621622,2.787878788
13,62,39,62,37,0.62,0.613861386,0.626262626,0.613861386,2.505050505
14,55,41,60,44,0.575,0.594059406,0.555555556,0.572916667,2.222222222
15,68,38,63,31,0.655,0.623762376,0.686868687,0.641509434,2.747474747
16,71,37,64,28,0.675,0.633663366,0.717171717,0.657407407,2.868686869
17,70,32,69,29,0.695,0.683168317,0.707070707,0.68627451,2.828282828
18,66,33,68,33,0.67,0.673267327,0.666666667,0.666666667,2.666666667
19,69,35,66,30,0.675,0.653465347,0.696969697,0.663461538,2.787878788
20,70,33,68,29,0.69,0.673267327,0.707070707,0.67961165,2.828282828
21,69,33,68,30,0.685,0.673267327,0.696969697,0.676470588,2.787878788
22,72,30,71,27,0.715,0.702970297,0.727272727,0.705882353,2.909090909
23,75,29,72,24,0.735,0.712871287,0.757575758,0.721153846,3.03030303
24,75,25,76,24,0.755,0.752475248,0.757575758,0.75,3.03030303
25,76,25,76,23,0.76,0.752475248,0.767676768,0.752475248,3.070707071
26,73,29,72,26,0.725,0.712871287,0.737373737,0.715686275,2.949494949
27,73,28,73,26,0.73,0.722772277,0.737373737,0.722772277,2.949494949
28,71,26,75,28,0.73,0.742574257,0.717171717,0.731958763,2.868686869
29,75,27,74,24,0.745,0.732673267,0.757575758,0.735294118,3.03030303
30,74,27,74,25,0.74,0.732673267,0.747474747,0.732673267,2.98989899
31,74,31,70,25,0.72,0.693069307,0.747474747,0.704761905,2.98989899
32,75,30,71,24,0.73,0.702970297,0.757575758,0.714285714,3.03030303
33,76,26,75,23,0.755,0.742574257,0.767676768,0.745098039,3.070707071
34,74,30,71,25,0.725,0.702970297,0.747474747,0.711538462,2.98989899
35,75,32,69,24,0.72,0.683168317,0.757575758,0.700934579,3.03030303
36,70,29,72,29,0.71,0.712871287,0.707070707,0.707070707,2.828282828
37,72,29,72,27,0.72,0.712871287,0.727272727,0.712871287,2.909090909
38,71,30,71,28,0.71,0.702970297,0.717171717,0.702970297,2.868686869
39,71,29,72,28,0.715,0.712871287,0.717171717,0.71,2.868686869
40,69,29,72,30,0.705,0.712871287,0.696969697,0.704081633,2.787878788
41,74,27,74,25,0.74,0.732673267,0.747474747,0.732673267,2.98989899
42,73,26,75,26,0.74,0.742574257,0.737373737,0.737373737,2.949494949
43,72,27,74,27,0.73,0.732673267,0.727272727,0.727272727,2.909090909
44,77,25,76,22,0.765,0.752475248,0.777777778,0.754901961,3.111111111
45,75,26,75,24,0.75,0.742574257,0.757575758,0.742574257,3.03030303
46,73,25,76,26,0.745,0.752475248,0.737373737,0.744897959,2.949494949
47,74,28,73,25,0.735,0.722772277,0.747474747,0.725490196,2.98989899
48,72,25,76,27,0.74,0.752475248,0.727272727,0.742268041,2.909090909
49,72,26,75,27,0.735,0.742574257,0.727272727,0.734693878,2.909090909
50,74,25,76,25,0.75,0.752475248,0.747474747,0.747474747,2.98989899
51,72,25,76,27,0.74,0.752475248,0.727272727,0.742268041,2.909090909
52,71,26,75,28,0.73,0.742574257,0.717171717,0.731958763,2.868686869
53,69,26,75,30,0.72,0.742574257,0.696969697,0.726315789,2.787878788
54,69,26,75,30,0.72,0.742574257,0.696969697,0.726315789,2.787878788
55,71,26,75,28,0.73,0.742574257,0.717171717,0.731958763,2.868686869
56,68,23,78,31,0.73,0.772277228,0.686868687,0.747252747,2.747474747
57,70,23,78,29,0.74,0.772277228,0.707070707,0.752688172,2.828282828
58,72,23,78,27,0.75,0.772277228,0.727272727,0.757894737,2.909090909
59,74,23,78,25,0.76,0.772277228,0.747474747,0.762886598,2.98989899
60,71,23,78,28,0.745,0.772277228,0.717171717,0.755319149,2.868686869
61,70,23,78,29,0.74,0.772277228,0.707070707,0.752688172,2.828282828
62,70,25,76,29,0.73,0.752475248,0.707070707,0.736842105,2.828282828
63,70,25,76,29,0.73,0.752475248,0.707070707,0.736842105,2.828282828
64,70,24,77,29,0.735,0.762376238,0.707070707,0.744680851,2.828282828
65,70,25,76,29,0.73,0.752475248,0.707070707,0.736842105,2.828282828
66,72,28,73,27,0.725,0.722772277,0.727272727,0.72,2.909090909
67,72,29,72,27,0.72,0.712871287,0.727272727,0.712871287,2.909090909
68,72,28,73,27,0.725,0.722772277,0.727272727,0.72,2.909090909
69,73,27,74,26,0.735,0.732673267,0.737373737,0.73,2.949494949
70,73,28,73,26,0.73,0.722772277,0.737373737,0.722772277,2.949494949
71,75,23,78,24,0.765,0.772277228,0.757575758,0.765306122,3.03030303
72,75,23,78,24,0.765,0.772277228,0.757575758,0.765306122,3.03030303
73,75,24,77,24,0.76,0.762376238,0.757575758,0.757575758,3.03030303
74,75,23,78,24,0.765,0.772277228,0.757575758,0.765306122,3.03030303
75,73,23,78,26,0.755,0.772277228,0.737373737,0.760416667,2.949494949
76,71,22,79,28,0.75,0.782178218,0.717171717,0.76344086,2.868686869
77,70,26,75,29,0.725,0.742574257,0.707070707,0.729166667,2.828282828
