TurnNumber,TruePositive,FalsePositive,TrueNegative,Falsenegative,Accuracy,Specificity,Sensitivity,,,,,,,,,,,,,
4,28,9,16,47,0.44,0.64,0.373333333,,,,,,,,,,,,,
5,46,16,9,29,0.55,0.36,0.613333333,,,,,,,,,,,,,
6,75,24,1,0,0.76,0.04,1,,,,,,1,0,0,25,75,0.25,1,0
7,74,24,1,1,0.75,0.04,0.986666667,,,,,,2,0,0,25,75,0.25,1,0
8,75,25,0,0,0.75,0,1,,,,,,3,0,0,25,75,0.25,1,0
9,73,25,0,2,0.73,0,0.973333333,,,,,,,,,,,,,
10,66,17,8,9,0.74,0.32,0.88,,,,,,,,,,,,,
11,63,18,7,12,0.7,0.28,0.84,,,,,,,,,,,,,
12,60,22,3,15,0.63,0.12,0.8,,,,,,,,,,,,,
13,55,16,9,20,0.64,0.36,0.733333333,,,,,,,,,,,,,
14,43,12,13,32,0.56,0.52,0.573333333,,,,,,,,,,,,,
15,65,23,2,10,0.67,0.08,0.866666667,,,,,,,,,,,,,
16,64,24,1,11,0.65,0.04,0.853333333,,,,,,,,,,,,,
17,67,19,6,8,0.73,0.24,0.893333333,,,,,,,,,,,,,
18,63,21,4,12,0.67,0.16,0.84,,,,,,,,,,,,,
19,66,22,3,9,0.69,0.12,0.88,,,,,,,,,,,,,
20,67,21,4,8,0.71,0.16,0.893333333,,,,,,,,,,,,,
21,69,21,4,6,0.73,0.16,0.92,,,,,,,,,,,,,
22,71,23,2,4,0.73,0.08,0.946666667,,,,,,,,,,,,,
23,75,24,1,0,0.76,0.04,1,,,,,,,,,,,,,
24,73,22,3,2,0.76,0.12,0.973333333,,,,,,,,,,,,,
25,74,24,1,1,0.75,0.04,0.986666667,,,,,,,,,,,,,
26,73,25,0,2,0.73,0,0.973333333,,,,,,,,,,,,,
27,72,23,2,3,0.74,0.08,0.96,,,,,,,,,,,,,
28,70,24,1,5,0.71,0.04,0.933333333,,,,,,,,,,,,,
29,74,25,0,1,0.74,0,0.986666667,,,,,,,,,,,,,
30,74,25,0,1,0.74,0,0.986666667,,,,,,,,,,,,,
31,74,25,0,1,0.74,0,0.986666667,,,,,,,,,,,,,
32,73,24,1,2,0.74,0.04,0.973333333,,,,,,,,,,,,,
33,75,23,2,0,0.77,0.08,1,,,,,,,,,,,,,
34,74,23,2,1,0.76,0.08,0.986666667,,,,,,,,,,,,,
35,74,24,1,1,0.75,0.04,0.986666667,,,,,,,,,,,,,
36,70,22,3,5,0.73,0.12,0.933333333,,,,,,,,,,,,,
37,71,23,2,4,0.73,0.08,0.946666667,,,,,,,,,,,,,
38,70,24,1,5,0.71,0.04,0.933333333,,,,,,,,,,,,,
39,70,25,0,5,0.7,0,0.933333333,,,,,,,,,,,,,
40,68,24,1,7,0.69,0.04,0.906666667,,,,,,,,,,,,,
41,72,23,2,3,0.74,0.08,0.96,,,,,,,,,,,,,
42,71,23,2,4,0.73,0.08,0.946666667,,,,,,,,,,,,,
43,70,23,2,5,0.72,0.08,0.933333333,,,,,,,,,,,,,
44,74,24,1,1,0.75,0.04,0.986666667,,,,,,,,,,,,,
45,73,25,0,2,0.73,0,0.973333333,,,,,,,,,,,,,
46,72,24,1,3,0.73,0.04,0.96,,,,,,,,,,,,,
47,71,25,0,4,0.71,0,0.946666667,,,,,,,,,,,,,
48,71,23,2,4,0.73,0.08,0.946666667,,,,,,,,,,,,,
49,72,25,0,3,0.72,0,0.96,,,,,,,,,,,,,
50,73,25,0,2,0.73,0,0.973333333,,,,,,,,,,,,,
51,70,24,1,5,0.71,0.04,0.933333333,,,,,,,,,,,,,
52,70,25,0,5,0.7,0,0.933333333,,,,,,,,,,,,,
53,69,25,0,6,0.69,0,0.92,,,,,,,,,,,,,
54,69,25,0,6,0.69,0,0.92,,,,,,,,,,,,,
55,70,25,0,5,0.7,0,0.933333333,,,,,,,,,,,,,
56,68,22,3,7,0.71,0.12,0.906666667,,,,,,,,,,,,,
57,70,23,2,5,0.72,0.08,0.933333333,,,,,,,,,,,,,
58,71,23,2,4,0.73,0.08,0.946666667,,,,,,,,,,,,,
59,73,23,2,2,0.75,0.08,0.973333333,,,,,,,,,,,,,
60,71,23,2,4,0.73,0.08,0.946666667,,,,,,,,,,,,,
61,70,23,2,5,0.72,0.08,0.933333333,,,,,,,,,,,,,
62,70,25,0,5,0.7,0,0.933333333,,,,,,,,,,,,,
63,70,25,0,5,0.7,0,0.933333333,,,,,,,,,,,,,
64,68,24,1,7,0.69,0.04,0.906666667,,,,,,,,,,,,,
65,69,24,1,6,0.7,0.04,0.92,,,,,,,,,,,,,
66,72,25,0,3,0.72,0,0.96,,,,,,,,,,,,,
67,72,25,0,3,0.72,0,0.96,,,,,,,,,,,,,
68,72,25,0,3,0.72,0,0.96,,,,,,,,,,,,,
69,73,24,1,2,0.74,0.04,0.973333333,,,,,,,,,,,,,
70,73,24,1,2,0.74,0.04,0.973333333,,,,,,,,,,,,,
71,74,23,2,1,0.76,0.08,0.986666667,,,,,,,,,,,,,
72,74,23,2,1,0.76,0.08,0.986666667,,,,,,,,,,,,,
73,74,24,1,1,0.75,0.04,0.986666667,,,,,,,,,,,,,
74,74,23,2,1,0.76,0.08,0.986666667,,,,,,,,,,,,,
75,73,23,2,2,0.75,0.08,0.973333333,,,,,,,,,,,,,
76,70,21,4,5,0.74,0.16,0.933333333,,,,,,,,,,,,,
77,70,24,1,5,0.71,0.04,0.933333333,,,,,,,,,,,,,
78,72,24,1,3,0.73,0.04,0.96,,,,,,,,,,,,,
79,70,22,3,5,0.73,0.12,0.933333333,,,,,,,,,,,,,
80,70,22,3,5,0.73,0.12,0.933333333,,,,,,,,,,,,,
81,57,18,7,18,0.64,0.28,0.76,,,,,,,,,,,,,
82,57,18,7,18,0.64,0.28,0.76,,,,,,,,,,,,,
83,63,19,6,12,0.69,0.24,0.84,,,,,,,,,,,,,
84,62,19,6,13,0.68,0.24,0.826666667,,,,,,,,,,,,,
85,61,20,5,14,0.66,0.2,0.813333333,,,,,,,,,,,,,
86,56,20,5,19,0.61,0.2,0.746666667,,,,,,,,,,,,,
87,61,20,5,14,0.66,0.2,0.813333333,,,,,,,,,,,,,
88,62,20,5,13,0.67,0.2,0.826666667,,,,,,,,,,,,,
89,61,16,9,14,0.7,0.36,0.813333333,,,,,,,,,,,,,
90,61,16,9,14,0.7,0.36,0.813333333,,,,,,,,,,,,,
91,58,13,12,17,0.7,0.48,0.773333333,,,,,,,,,,,,,
92,61,12,13,14,0.74,0.52,0.813333333,,,,,,,,,,,,,
93,61,12,13,14,0.74,0.52,0.813333333,,,,,,,,,,,,,
94,57,10,15,18,0.72,0.6,0.76,,,,,,,,,,,,,
95,58,11,14,17,0.72,0.56,0.773333333,,,,,,,,,,,,,
96,64,11,14,11,0.78,0.56,0.853333333,,,,,,,,,,,,,
97,63,11,14,12,0.77,0.56,0.84,,,,,,,,,,,,,
98,63,11,14,12,0.77,0.56,0.84,,,,,,,,,,,,,
99,64,11,14,11,0.78,0.56,0.853333333,,,,,,,,,,,,,
100,63,11,14,12,0.77,0.56,0.84,,,,,,,,,,,,,
101,67,11,14,8,0.81,0.56,0.893333333,,,,,,,,,,,,,
102,70,12,12,5,0.828282828,0.5,0.933333333,,,,,,,,,,,,,
103,69,12,12,6,0.818181818,0.5,0.92,,,,,,,,,,,,,
