TurnNumber,TruePositive,FalsePositive,TrueNegative,Falsenegative,Accuracy,Specificity,Sensitivity
1,0,0,43,57,0.43,1,0
2,0,0,43,57,0.43,1,0
3,0,0,43,57,0.43,1,0
4,10,10,33,47,0.43,0.76744186,0.175438596
5,18,16,27,39,0.45,0.627906977,0.315789474
6,36,21,22,21,0.58,0.511627907,0.631578947
7,37,24,19,20,0.56,0.441860465,0.649122807
8,33,22,21,24,0.54,0.488372093,0.578947368
9,29,22,21,28,0.5,0.488372093,0.50877193
10,29,20,23,28,0.52,0.534883721,0.50877193
11,23,20,23,34,0.46,0.534883721,0.403508772
12,23,16,27,34,0.5,0.627906977,0.403508772
13,24,20,23,33,0.47,0.534883721,0.421052632
14,27,17,26,30,0.53,0.604651163,0.473684211
15,25,17,26,32,0.51,0.604651163,0.438596491
16,30,19,24,27,0.54,0.558139535,0.526315789
17,33,20,23,24,0.56,0.534883721,0.578947368
18,33,18,25,24,0.58,0.581395349,0.578947368
19,31,18,25,26,0.56,0.581395349,0.543859649
20,33,21,22,24,0.55,0.511627907,0.578947368
21,24,26,17,33,0.41,0.395348837,0.421052632
22,32,23,20,25,0.52,0.465116279,0.561403509
23,29,27,16,28,0.45,0.372093023,0.50877193
24,31,21,22,26,0.53,0.511627907,0.543859649
25,23,23,20,34,0.43,0.465116279,0.403508772
26,32,23,20,25,0.52,0.465116279,0.561403509
27,27,22,21,30,0.48,0.488372093,0.473684211
28,26,24,19,31,0.45,0.441860465,0.456140351
29,28,25,18,29,0.46,0.418604651,0.49122807
30,29,23,20,28,0.49,0.465116279,0.50877193
31,37,27,16,20,0.53,0.372093023,0.649122807
32,35,23,20,22,0.55,0.465116279,0.614035088
33,31,23,20,26,0.51,0.465116279,0.543859649
34,37,23,20,20,0.57,0.465116279,0.649122807
35,35,21,22,22,0.57,0.511627907,0.614035088
36,36,19,24,21,0.6,0.558139535,0.631578947
37,40,23,20,17,0.6,0.465116279,0.701754386
38,37,21,22,20,0.59,0.511627907,0.649122807
39,38,24,19,19,0.57,0.441860465,0.666666667
40,37,22,21,20,0.58,0.488372093,0.649122807
41,39,22,21,18,0.6,0.488372093,0.684210526
42,37,24,19,20,0.56,0.441860465,0.649122807
43,33,23,20,24,0.53,0.465116279,0.578947368
44,42,23,20,15,0.62,0.465116279,0.736842105
45,42,22,21,15,0.63,0.488372093,0.736842105
46,35,17,26,22,0.61,0.604651163,0.614035088
47,33,19,24,24,0.57,0.558139535,0.578947368
48,38,24,19,19,0.57,0.441860465,0.666666667
49,36,25,18,21,0.54,0.418604651,0.631578947
50,32,26,17,25,0.49,0.395348837,0.561403509
51,35,19,24,22,0.59,0.558139535,0.614035088
52,37,19,24,20,0.61,0.558139535,0.649122807
53,39,18,25,18,0.64,0.581395349,0.684210526
54,42,15,28,15,0.7,0.651162791,0.736842105
55,38,21,22,19,0.6,0.511627907,0.666666667
56,40,24,19,17,0.59,0.441860465,0.701754386
57,39,23,20,18,0.59,0.465116279,0.684210526
58,39,23,20,18,0.59,0.465116279,0.684210526
59,40,19,24,17,0.64,0.558139535,0.701754386
60,42,18,25,15,0.67,0.581395349,0.736842105
61,38,16,27,19,0.65,0.627906977,0.666666667
62,40,13,30,17,0.7,0.697674419,0.701754386
63,40,13,30,17,0.7,0.697674419,0.701754386
64,40,19,24,17,0.64,0.558139535,0.701754386
65,42,17,26,15,0.68,0.604651163,0.736842105
66,37,17,26,20,0.63,0.604651163,0.649122807
67,41,16,27,16,0.68,0.627906977,0.719298246
68,42,14,29,15,0.71,0.674418605,0.736842105
69,42,17,26,15,0.68,0.604651163,0.736842105
70,42,16,27,15,0.69,0.627906977,0.736842105
71,36,11,32,21,0.68,0.744186047,0.631578947
72,37,14,29,20,0.66,0.674418605,0.649122807
