TurnNumber,TruePositive,FalsePositive,TrueNegative,Falsenegative,Accuracy,Specificity,Sensitivity
1,0,0,76,24,0.76,1,0
2,0,0,76,24,0.76,1,0
3,0,0,76,24,0.76,1,0
4,0,3,73,24,0.73,0.960526316,0
5,6,20,56,18,0.62,0.736842105,0.25
6,1,2,74,23,0.75,0.973684211,0.041666667
7,2,9,67,22,0.69,0.881578947,0.083333333
8,0,0,76,24,0.76,1,0
9,0,9,67,24,0.67,0.881578947,0
10,6,24,52,18,0.58,0.684210526,0.25
11,6,14,62,18,0.68,0.815789474,0.25
12,9,20,56,15,0.65,0.736842105,0.375
13,7,23,53,17,0.6,0.697368421,0.291666667
14,12,29,47,12,0.59,0.618421053,0.5
15,3,15,61,21,0.64,0.802631579,0.125
16,7,13,63,17,0.7,0.828947368,0.291666667
17,3,13,63,21,0.66,0.828947368,0.125
18,3,12,64,21,0.67,0.842105263,0.125
19,3,13,63,21,0.66,0.828947368,0.125
20,3,12,64,21,0.67,0.842105263,0.125
21,0,12,64,24,0.64,0.842105263,0
22,1,7,69,23,0.7,0.907894737,0.041666667
23,0,5,71,24,0.71,0.934210526,0
24,2,3,73,22,0.75,0.960526316,0.083333333
25,2,1,75,22,0.77,0.986842105,0.083333333
26,0,4,72,24,0.72,0.947368421,0
27,1,5,71,23,0.72,0.934210526,0.041666667
28,1,2,74,23,0.75,0.973684211,0.041666667
29,1,2,74,23,0.75,0.973684211,0.041666667
30,0,2,74,24,0.74,0.973684211,0
31,0,6,70,24,0.7,0.921052632,0
32,2,6,70,22,0.72,0.921052632,0.083333333
33,1,3,73,23,0.74,0.960526316,0.041666667
34,0,7,69,24,0.69,0.907894737,0
35,1,8,68,23,0.69,0.894736842,0.041666667
36,0,7,69,24,0.69,0.907894737,0
37,1,6,70,23,0.71,0.921052632,0.041666667
38,1,6,70,23,0.71,0.921052632,0.041666667
39,1,4,72,23,0.73,0.947368421,0.041666667
40,1,5,71,23,0.72,0.934210526,0.041666667
41,2,4,72,22,0.74,0.947368421,0.083333333
42,2,3,73,22,0.75,0.960526316,0.083333333
43,2,4,72,22,0.74,0.947368421,0.083333333
44,3,1,75,21,0.78,0.986842105,0.125
45,2,1,75,22,0.77,0.986842105,0.083333333
46,1,1,75,23,0.76,0.986842105,0.041666667
47,3,3,73,21,0.76,0.960526316,0.125
48,1,2,74,23,0.75,0.973684211,0.041666667
49,0,1,75,24,0.75,0.986842105,0
50,1,0,76,23,0.77,1,0.041666667
51,2,1,75,22,0.77,0.986842105,0.083333333
52,1,1,75,23,0.76,0.986842105,0.041666667
53,0,1,75,24,0.75,0.986842105,0
54,0,1,75,24,0.75,0.986842105,0
55,1,1,75,23,0.76,0.986842105,0.041666667
56,0,1,75,24,0.75,0.986842105,0
57,0,0,76,24,0.76,1,0
58,1,0,76,23,0.77,1,0.041666667
59,1,0,76,23,0.77,1,0.041666667
60,0,0,76,24,0.76,1,0
