TurnNumber,TruePositive,FalsePositive,TrueNegative,Falsenegative,Accuracy,Specificity,Sensitivity
1,0,0,57,45,0.559,1.00,0.00
2,0,0,57,45,0.559,1.00,0.00
3,0,0,57,45,0.559,1.00,0.00
4,9,13,44,36,0.520,0.77,0.20
5,18,15,42,27,0.588,0.74,0.40
6,24,24,33,21,0.559,0.58,0.53
7,28,29,28,17,0.549,0.49,0.62
8,27,28,29,18,0.549,0.51,0.60
9,23,29,28,22,0.500,0.49,0.51
10,23,31,26,22,0.480,0.46,0.51
11,20,29,28,25,0.471,0.49,0.44
12,20,36,21,25,0.402,0.37,0.44
13,14,28,29,31,0.422,0.51,0.31
14,20,35,22,25,0.412,0.39,0.44
15,23,34,23,22,0.451,0.40,0.51
16,11,22,35,34,0.451,0.61,0.24
17,7,24,33,38,0.392,0.58,0.16
18,9,22,35,36,0.431,0.61,0.20
19,9,24,33,36,0.412,0.58,0.20
20,13,22,35,32,0.471,0.61,0.29
21,29,45,12,16,0.402,0.21,0.64
22,30,36,21,15,0.500,0.37,0.67
23,25,35,22,20,0.461,0.39,0.56
24,25,34,23,20,0.471,0.40,0.56
25,27,38,19,18,0.451,0.33,0.60
26,26,32,25,19,0.500,0.44,0.58
27,25,29,28,20,0.520,0.49,0.56
28,23,33,24,22,0.461,0.42,0.51
29,22,36,21,23,0.422,0.37,0.49
30,21,35,22,24,0.422,0.39,0.47
31,22,32,25,23,0.461,0.44,0.49
32,22,30,27,23,0.480,0.47,0.49
33,21,28,29,24,0.490,0.51,0.47
34,22,30,27,23,0.480,0.47,0.49
35,20,28,29,25,0.480,0.51,0.44
36,23,23,34,22,0.559,0.60,0.51
37,22,23,34,23,0.549,0.60,0.49
38,22,23,34,23,0.549,0.60,0.49
39,20,27,30,25,0.490,0.53,0.44
40,19,28,29,26,0.471,0.51,0.42
41,18,23,34,27,0.510,0.60,0.40
42,15,20,37,30,0.510,0.65,0.33
43,16,21,36,29,0.510,0.63,0.36
44,18,18,39,27,0.559,0.68,0.40
45,18,20,37,27,0.539,0.65,0.40
46,21,30,27,24,0.471,0.47,0.47
47,21,32,25,24,0.451,0.44,0.47
48,19,30,27,26,0.451,0.47,0.42
49,19,28,29,26,0.471,0.51,0.42
50,20,31,26,25,0.451,0.46,0.44
51,13,22,35,32,0.471,0.61,0.29
52,15,23,34,30,0.480,0.60,0.33
53,15,22,35,30,0.490,0.61,0.33
54,16,24,33,29,0.480,0.58,0.36
55,20,22,35,25,0.539,0.61,0.44
56,18,18,39,27,0.559,0.68,0.40
57,18,17,40,27,0.569,0.70,0.40
58,18,16,41,27,0.578,0.72,0.40
59,14,17,40,31,0.529,0.70,0.31
60,14,17,40,31,0.529,0.70,0.31
61,15,21,36,30,0.500,0.63,0.33
62,18,19,38,27,0.549,0.67,0.40
63,18,20,37,27,0.539,0.65,0.40
64,19,18,39,26,0.569,0.68,0.42
65,20,19,38,25,0.569,0.67,0.44
66,21,25,32,24,0.520,0.56,0.47
67,24,22,35,21,0.578,0.61,0.53
68,24,25,32,21,0.549,0.56,0.53
69,24,26,31,21,0.539,0.54,0.53
70,23,19,38,22,0.598,0.67,0.51
71,19,11,46,26,0.637,0.81,0.42
72,19,14,43,26,0.608,0.75,0.42
73,21,13,44,24,0.637,0.77,0.47
74,19,15,42,26,0.598,0.74,0.42
75,19,12,45,26,0.627,0.79,0.42
76,18,16,41,27,0.578,0.72,0.40
77,20,16,41,25,0.598,0.72,0.44
78,20,16,41,25,0.598,0.72,0.44
79,19,18,39,26,0.569,0.68,0.42
80,20,18,39,25,0.578,0.68,0.44
81,21,20,37,24,0.569,0.65,0.47
82,23,22,35,22,0.569,0.61,0.51
83,22,24,33,23,0.539,0.58,0.49
84,24,23,34,21,0.569,0.60,0.53
85,25,22,35,20,0.588,0.61,0.56
86,23,16,41,22,0.627,0.72,0.51
87,22,15,42,23,0.627,0.74,0.49
88,21,15,42,24,0.618,0.74,0.47
89,21,16,41,24,0.608,0.72,0.47
90,23,15,42,22,0.637,0.74,0.51
91,22,25,32,23,0.529,0.56,0.49
