0,player,nodes,knowledge,controller,percent
1.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;0],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1],[100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000]
1.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;0;0;0;1;0;1;2],[-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
2.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;1;0;0;0;0;0;0;0;0;0],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1],[100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000]
2.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;0;0;0;1;0;1;2],[-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
3.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;1;0;0;0;0;0;0;0;0;0],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1],[100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000]
3.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;0;0;0;1;0;1;2],[-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
4.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;1;0;0;0;0;0;0;0;0;0],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1],[100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000]
4.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;0;0;0;1;0;1;2],[-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
5.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;1;0;0;0;0;0;0;0],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1],[100.000000;24.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000]
5.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;0;0;0;2;0;2;2],[-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-8.000000;0.000000;-8.000000;-100.000000]
6.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;1;0;0;0;0;0;0;0],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1],[100.000000;56.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000]
6.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;0;0;0;2;0;2;2],[-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-16.000000;0.000000;-16.000000;-100.000000]
7.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;1;1;0;0;0;0;0;0],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1],[100.000000;72.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000]
7.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;0;0;0;2;0;2;2],[-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-32.000000;0.000000;-40.000000;-100.000000]
8.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;1;1;0;0;0;0;0;0],[0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1],[100.000000;100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000]
8.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;0;0;0;2;0;2;2],[-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-48.000000;0.000000;-64.000000;-100.000000]
9.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;1;2;0;0;0;0;0;0],[0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1],[100.000000;100.000000;0.000000;0.000000;16.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000]
9.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;0;0;0;2;0;2;2],[-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-72.000000;0.000000;-88.000000;-100.000000]
10.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;1;2;0;0;0;0;0;0],[0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1],[100.000000;100.000000;0.000000;0.000000;48.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000]
10.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;0;0;0;2;1;2;2],[-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1],[0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-96.000000;0.000000;-100.000000;-100.000000]
11.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;2;0;0;0;0;0;0],[0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1],[100.000000;100.000000;0.000000;16.000000;80.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000]
11.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;1;0;0;2;1;2;2],[-1;-1;-1;-1;-1;-1;-1;1;-1;1;1],[0.000000;0.000000;0.000000;0.000000;80.000000;0.000000;0.000000;-100.000000;0.000000;-100.000000;-100.000000]
12.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;2;0;0;1;0;0;0],[0;0;-1;-1;-1;-1;-1;1;-1;-1;-1],[100.000000;100.000000;0.000000;32.000000;96.000000;0.000000;0.000000;-100.000000;0.000000;0.000000;0.000000]
12.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;1;0;0;2;2;2;2],[-1;-1;-1;-1;-1;-1;-1;1;-1;1;1],[0.000000;0.000000;0.000000;0.000000;96.000000;0.000000;0.000000;-100.000000;-8.000000;-100.000000;-100.000000]
13.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;1;0;0;0],[0;0;-1;-1;-1;-1;-1;1;-1;-1;-1],[100.000000;100.000000;0.000000;48.000000;96.000000;0.000000;0.000000;-100.000000;0.000000;0.000000;0.000000]
13.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;1;0;0;2;2;2;2],[-1;-1;-1;-1;-1;-1;-1;1;-1;1;1],[0.000000;0.000000;0.000000;0.000000;96.000000;0.000000;0.000000;-100.000000;-16.000000;-100.000000;-100.000000]
14.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;2;0;0;0],[0;0;-1;-1;-1;-1;-1;1;-1;-1;-1],[100.000000;100.000000;0.000000;64.000000;96.000000;0.000000;0.000000;-100.000000;0.000000;0.000000;0.000000]
14.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;1;0;0;2;2;2;2],[-1;-1;-1;-1;-1;-1;-1;1;-1;1;1],[0.000000;0.000000;0.000000;0.000000;96.000000;0.000000;0.000000;-100.000000;-24.000000;-100.000000;-100.000000]
15.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;2;0;0;0],[0;0;-1;-1;-1;-1;-1;1;-1;-1;-1],[100.000000;100.000000;0.000000;80.000000;96.000000;0.000000;0.000000;-100.000000;0.000000;0.000000;0.000000]
15.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;1;0;0;2;2;2;2],[-1;-1;-1;-1;-1;-1;-1;1;-1;1;1],[0.000000;0.000000;0.000000;0.000000;96.000000;0.000000;0.000000;-100.000000;-40.000000;-100.000000;-100.000000]
16.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;2;0;0;0],[0;0;-1;-1;-1;-1;-1;1;-1;-1;-1],[100.000000;100.000000;0.000000;96.000000;96.000000;0.000000;0.000000;-68.000000;0.000000;0.000000;0.000000]
16.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;1;0;0;2;2;2;2],[-1;-1;-1;-1;-1;-1;-1;1;-1;1;1],[0.000000;0.000000;0.000000;0.000000;96.000000;0.000000;0.000000;-68.000000;-48.000000;-100.000000;-100.000000]
17.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;2;0;0;1],[0;0;-1;0;-1;-1;-1;1;-1;-1;1],[100.000000;100.000000;0.000000;100.000000;96.000000;0.000000;0.000000;-52.000000;0.000000;0.000000;-100.000000]
17.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;1;0;1;2;2;2;2],[-1;-1;-1;-1;-1;-1;-1;1;-1;1;1],[0.000000;0.000000;0.000000;0.000000;96.000000;0.000000;0.000000;-52.000000;-56.000000;-100.000000;-100.000000]
18.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;0;0;0;1],[0;0;-1;0;-1;-1;-1;-1;-1;-1;1],[100.000000;100.000000;0.000000;100.000000;88.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
18.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;0;0;2;0;1;2;2;2;2],[-1;-1;-1;-1;-1;-1;-1;1;-1;1;1],[0.000000;0.000000;0.000000;0.000000;88.000000;0.000000;0.000000;-60.000000;-64.000000;-100.000000;-100.000000]
